,postcode,sa2_2021,sa2_2016,year,gdp(USD Millioins),saving_rate(% of GDP),income_per_person,population_density,crime_cases
0,3012,213031351,213031351,2024,3850385,14.351000000009662,68284.62316527404,2283.0,2279
1,3664,204011058,204011058,2024,3850385,14.351000000009662,61131.56958406977,382.0,153
2,3124,207011149,207011149,2024,3850385,14.351000000009662,107969.11049127068,3354.0,1133
3,3269,217031475,217031475,2024,3850385,14.351000000009662,57321.54335464211,434.0,110
4,3048,210051247,210051247,2024,3850385,14.351000000009662,53128.64011537936,3912.0,2001
5,3820,205011079,205011079,2024,3850385,14.351000000009662,66145.7210482913,504.0,1591
6,3821,205011079,205011079,2024,3850385,14.351000000009662,66145.7210482913,504.0,193
7,3822,205011079,205011079,2024,3850385,14.351000000009662,66145.7210482913,504.0,125
8,3061,210051243,210051243,2024,3850385,14.351000000009662,53397.32164146612,1381.0,1507
9,3825,205041095,205041095,2024,3850385,14.351000000009662,65460.25203632889,638.0,3514
10,3550,202011018,202011018,2024,3850385,14.351000000009662,66190.204254488,1409.0,5685
11,3551,202011025,202011025,2024,3850385,14.351000000009662,63908.94598572701,545.0,1099
12,3953,205031090,205031090,2024,3850385,14.351000000009662,61471.8300845325,461.0,541
13,3663,204011058,204011058,2024,3850385,14.351000000009662,61131.56958406977,382.0,91
14,3335,213041359,213041359,2024,3850385,14.351000000009662,61174.6764156702,494.0,513
15,3053,206041117,206041117,2024,3850385,14.351000000009662,69696.9261146374,9055.0,2118
16,3145,208041195,208041195,2024,3850385,14.351000000009662,106097.88482051344,3253.0,2363
17,3181,206061136,206061136,2024,3850385,14.351000000009662,90057.7632970903,7012.0,3611
18,3051,206071517,206071144,2024,3850385,14.351000000009662,92606.73855228722,4288.0,1734
19,3218,203021040,203021040,2024,3850385,14.351000000009662,70463.89542015735,1038.0,1325
20,3058,210031236,210031236,2024,3850385,14.351000000009662,67993.34230696782,1910.0,3545
21,3122,207011520,207011151,2024,3850385,14.351000000009662,113356.00033612642,4105.0,1515
22,3121,206071517,206071144,2024,3850385,14.351000000009662,92606.73855228722,4288.0,4751
23,3128,207031163,207031163,2024,3850385,14.351000000009662,68050.39030578174,3156.0,1858
24,3073,209021526,209021208,2024,3850385,14.351000000009662,64286.65781929111,2850.0,4494
25,3205,206051512,206051132,2024,3850385,14.351000000009662,103742.09298498882,6192.0,2381
26,3188,208011172,208011172,2024,3850385,14.351000000009662,106203.52618908975,3525.0,1203
27,3193,208011168,208011168,2024,3850385,14.351000000009662,100199.27797388844,2710.0,608
28,3196,208031186,208031186,2024,3850385,14.351000000009662,71456.65341902152,2939.0,1575
29,3555,202011022,202011022,2024,3850385,14.351000000009662,59687.86660093814,892.0,1741
30,3018,213021341,213021341,2024,3850385,14.351000000009662,75607.26182579482,1205.0,966
31,3074,209041223,209041223,2024,3850385,14.351000000009662,57318.61826346675,2042.0,2511
32,3934,214021382,214021382,2024,3850385,14.351000000009662,76189.42825065227,964.0,546
33,3167,212051326,212051326,2024,3850385,14.351000000009662,69485.81449393835,2532.0,589
34,3146,207011150,207011150,2024,3850385,14.351000000009662,106785.8249799707,3356.0,996
