,Year,Postcode,Offence Count
0,2013,3000,17553
1,2013,3002,933
2,2013,3003,837
3,2013,3004,5305
4,2013,3006,2433
5,2013,3008,1481
6,2013,3011,3292
7,2013,3012,2108
8,2013,3013,864
9,2013,3015,1201
10,2013,3016,1444
11,2013,3018,907
12,2013,3019,1047
13,2013,3020,6092
14,2013,3021,4857
15,2013,3022,570
16,2013,3023,4104
17,2013,3024,1104
18,2013,3025,1268
19,2013,3026,1254
20,2013,3027,169
21,2013,3028,1906
22,2013,3029,5337
23,2013,3030,5424
24,2013,3031,2325
25,2013,3032,3124
26,2013,3033,777
27,2013,3034,404
28,2013,3036,263
29,2013,3037,2413
30,2013,3038,2184
31,2013,3039,1427
32,2013,3040,1385
33,2013,3041,720
34,2013,3042,1412
35,2013,3043,1558
36,2013,3044,1381
37,2013,3045,591
38,2013,3046,2279
39,2013,3047,3953
40,2013,3048,1523
41,2013,3049,500
42,2013,3051,1402
43,2013,3052,1028
44,2013,3053,1737
45,2013,3054,468
46,2013,3055,745
47,2013,3056,2267
48,2013,3057,616
49,2013,3058,3263
50,2013,3059,571
51,2013,3060,1055
52,2013,3061,1248
53,2013,3062,164
54,2013,3063,15
55,2013,3064,3660
56,2013,3065,2299
57,2013,3066,1438
58,2013,3067,739
59,2013,3068,1300
60,2013,3070,1647
61,2013,3071,988
62,2013,3072,4172
63,2013,3073,3283
64,2013,3074,2301
65,2013,3075,1514
66,2013,3076,2732
67,2013,3078,646
68,2013,3079,688
69,2013,3081,1624
70,2013,3082,1805
71,2013,3083,1695
72,2013,3084,1872
73,2013,3085,469
74,2013,3087,457
75,2013,3088,1417
76,2013,3089,526
77,2013,3090,101
78,2013,3091,40
79,2013,3093,147
80,2013,3094,250
81,2013,3095,815
82,2013,3096,41
83,2013,3097,24
84,2013,3099,182
85,2013,3101,1086
86,2013,3102,215
87,2013,3103,402
88,2013,3104,537
89,2013,3105,360
90,2013,3106,309
91,2013,3107,240
92,2013,3108,1456
93,2013,3109,783
94,2013,3111,152
95,2013,3113,182
96,2013,3114,85
97,2013,3115,33
98,2013,3116,455
99,2013,3121,4115
100,2013,3122,1538
101,2013,3123,569
102,2013,3124,1052
103,2013,3125,806
104,2013,3126,205
105,2013,3127,558
106,2013,3128,1513
107,2013,3129,431
108,2013,3130,986
109,2013,3131,1324
110,2013,3132,946
111,2013,3133,582
112,2013,3134,2849
113,2013,3135,792
114,2013,3136,1926
115,2013,3137,715
116,2013,3138,840
117,2013,3139,395
118,2013,3140,1199
119,2013,3141,1968
120,2013,3142,989
121,2013,3143,471
122,2013,3144,709
123,2013,3145,1923
124,2013,3146,793
125,2013,3147,657
126,2013,3148,649
