Place_Names,Longitude,Latitude
SWAN HILL HOSPITAL,-35.3403999816665,143.556260071647
CLUNES HOSPITAL,-37.3017899954186,143.782649994583
MALDON HOSPITAL,-36.9927000015043,144.063999975563
WODONGA HOSPITAL,-36.1331799870922,146.879029965612
SUNSHINE & DISTRICT COMMUNITY HOSPITAL,-37.7826299989962,144.827639967541
ORBOST HOSPITAL,-37.6998499939763,148.46458999494
AUSTIN HOSPITAL,-37.7559599976271,145.059029968315
MOUNT ALEXANDER HOSPITAL,-37.0506800000823,144.221260012082
ALEXANDRA HOSPITAL,-37.1953999981269,145.71569997584
FAIRFIELD HOSPITAL,-37.7876299965631,145.011529979096
HEALESVILLE HOSPITAL,-37.6473499966904,145.528759945237
BRIELY HOSPITAL,-38.371239985673,142.513199964845
WERRIBEE HOSPITAL,-37.9070699979461,144.652369980703
WESTERNPORT MEMORIAL HOSPITAL,-38.2009600000073,145.484589973644
TRENTHAM HOSPITAL,-37.3865099981355,144.327369992605
WILLIAM ANGLISS HOSPITAL,-37.898739996215,145.314589978253
ROCHESTER MEMORIAL HOSPITAL,-36.3659599823439,144.698480000338
YEA MEMORIAL HOSPITAL,-37.2126300049344,145.429029990411
CRESWICK HOSPITAL,-37.4212399970977,143.891529979939
TALLANGATTA HOSPITAL,-36.2137397819757,147.183480070141
MYRTLEFORD MEMORIAL HOSPITAL,-36.5537399884989,146.729589979179
NATHALIA HOSPITAL,-36.0537400528073,145.203759985201
COLAC DISTRICT HOSPITAL,-38.3409599903223,143.584869983976
COLERAINE HOSPITAL,-37.6051300243167,141.686810115592
DUNOLLY HOSPITAL,-36.8573499973971,143.731530017141
EDENHOPE MEMORIAL HOSPITAL,-37.0370700054963,141.291260045281
YARRAWONGA HOSPITAL,-36.0109599984887,146.007089939896
BIRREGURRA HOSPITAL,-38.3337400171141,143.788199954458
WONTHAGGI HOSPITAL,-38.6087399992814,145.580419962123
INGLEWOOD HOSPITAL,-36.572899997263,143.867919984151
JEPARIT HOSPITAL,-36.1434599777689,141.984870017277
KOROIT HOSPITAL,-38.2970699880132,142.37152994919
APOLLO BAY HOSPITAL,-38.7537399907861,143.664029993659
ARARAT HOSPITAL,-37.2792899677992,142.932370000774
WANGARATTA BASE HOSPITAL,-36.3537399851381,146.313479971063
WOORAYL MEMORIAL HOSPITAL,-38.4873499980135,145.949869987596
BALLARAT BASE HOSPITAL,-37.5592899990989,143.846809978776
WARANGA MEMORIAL HOSPITAL,-36.5871400013348,145.016409980809
LORNE COMMUNITY HOSPITAL,-38.545499994712,143.980800001132
CAMPERDOWN HOSPITAL,-38.2373499910809,143.13791999496
OVENS HOSPITAL,-36.3501299822247,146.690419983103
MERCY HOSPITAL,-37.8115099948852,144.984869989124
KILMORE HOSPITAL,-37.3017900019376,144.959029992559
KORUMBURRA HOSPITAL,-38.4303999988644,145.827919965819
KYABRAM COMMUNITY MEMORIAL HOSPITAL,-36.3154000064094,145.042919996987
BURWOOD COMMUNITY HOSPITAL,-37.8520699847856,145.09625999935
SOUTH GIPPSLAND HOSPITAL,-38.6570699967314,146.205979993057
SOUTHERN PENINSULA HOSPITAL,-38.3620699954488,144.88486998652
SPRINGFIELD HOSPITAL,-37.8470699968676,145.299869974547
COHUNA HOSPITAL,-35.8023490526081,144.213480008062
SEYMOUR MEMORIAL HOSPITAL,-37.019010007478,145.138479971487
CAULFIELD HOSPITAL,-37.8815099916023,145.018199982704
WAVERLEY HOSPITAL,-37.8834599912954,145.144309986551
MORDIALLOC-CHELTENHAM HOSPITAL,-37.9951299948669,145.084589995681
MORWELL COMMUNITY HOSPITAL,-38.2381799968955,146.392089968229
BALLAN HOSPITAL,-37.5992899965803,144.222369987732
CARITAS CHRISTI HOSPITAL,-37.8048499949558,145.015700004498
CENTRAL GIPPSLAND HOSPITAL,-38.2017900013085,146.521529994962
ESSENDON MEMORIAL HOSPITAL,-37.7651300006465,144.912369983731
SHELLEY HOSPITAL,-38.0965099969431,145.718199973605
MONASH MEDICAL CENTRE,-37.9201299960454,145.122919965241
QUEEN VICTORIA MEDICAL CENTRE,-37.9201299960454,145.122919965241
MONT PARK HOSPITAL,-37.7134599987334,145.04986999653
PRESTON and NORTHCOTE COMMUNITY HOSPITAL,-37.746240001154,145.009309996983
PRINCE HENRYS HOSPITAL,-37.8256799960037,144.970699972044
EAST GIPPSLAND HOSPITAL,-37.8317899884956,147.607089993865
ECHUCA HOSPITAL,-36.1381800051692,144.747369996692
GREENVALE GERIATRIC CENTRE,-37.6434600022619,144.859029985071
HAMPTON HOSPITAL,-37.9342899924252,144.996259997764
PETER MACCULLUM HOSPITAL,-37.8117899970064,144.957369977868
HEATHCOTE HOSPITAL,-36.9231799975103,144.707649990119
WINCHELSEA HOSPITAL,-38.2431800501587,143.985149986766
BACCHUS MARSH MEMORIAL HOSPITAL,-37.6773499949047,144.43291998217
LATROBE VALLEY HOSPITAL,-38.1806799971362,146.278480005922
BEEAC HOSPITAL,-38.1937399870936,143.64319999048
TERANG HOSPITAL,-38.2390099888369,142.901809979882
EILDON COMMUNITY HOSPITAL,-37.2298499966271,145.914589951375
ELMORE HOSPITAL,-36.4915099995055,144.614309985345
AIRLIE MATERNITY HOSPITAL,-37.7717900004468,145.040419968813
CASTLEMAINE COMMUNITY HOSPITAL,-37.0506800000823,144.221260012082
LISMORE HOSPITAL,-37.9523499914477,143.335419978938
GEELONG HOSPITAL,-38.1523499962629,144.363759974284
PORT FAIRY HOSPITAL,-38.3848499832495,142.227089963002
PORTLAND HOSPITAL,-38.3404000202928,141.605420073911
NHILL HOSPITAL,-36.3337399807349,141.655150029061
TIMBOON HOSPITAL,-38.4870699869005,142.97792001022
WILLAURA HOSPITAL,-37.5448499883143,142.745700021193
ALFRED HOSPITAL,-37.8455799979027,144.98203996791
KANIVA HOSPITAL,-36.3790099760497,141.246530029694
HAMILTON BASE HOSPITAL,-37.7387400121621,142.0295900567
HAMILTON HOSPITAL,-37.736790012197,142.030420056728
LORNE HOSPITAL,-38.5453999956515,143.979869999309
MILDURA BASE HOSPITAL,-34.1855000330063,142.14290000145
MACARTHUR HOSPITAL,-38.031790004234,141.999310006839
GELANTIPY BUSH NURSING CENTRE,-37.1873499855476,148.267920028145
KINGSTON CENTRE,-37.9543999922924,145.079899998974
KOO-WEE-RUP HOSPITAL,-38.2012400000288,145.484869973563
MINYIP HOSPITAL,-36.4598499793614,142.589310010127
RED CLIFFS HOSPITAL,-34.3087400344317,142.189029994241
RIPON PEACE HOSPITAL,-37.4306799930879,143.381530012908
BRIGHTON COMMUNITY HOSPITAL,-37.9115099909419,144.991259992122
STAWELL HOSPITAL,-37.0590099704523,142.781810017091
WIMMERA BASE HOSPITAL,-36.7120699749466,142.208200002772
HEYWOOD HOSPITAL,-38.1390099861352,141.624589974131
BOX HILL HOSPITAL,-37.8137399870991,145.118760007645
DAYLESFORD HOSPITAL,-37.3362399989319,144.145419958947
MORTLAKE HOSPITAL,-38.0828999885368,142.812090007789
ROBINVALE HOSPITAL,-34.5837399762095,142.775149972381
RUPANYUP HOSPITAL,-36.6331799858275,142.629869999731
BENDIGO BASE HOSPITAL,-36.748460003262,144.283760022196
BETHLEHEM HOSPITAL,-37.9905399940256,145.072779993248
ROYAL MELBOURNE HOSPITAL,-37.7992899978906,144.956809977322
OUYEN HOSPITAL,-35.0737399864495,142.312090036086
BUNDOORA REPATRIATION HOSPITAL,-37.7045700006967,145.050139988451
WESTERN GENERAL HOSPITAL,-37.7917900000524,144.886529988332
WEST GIPPSLAND HOSPITAL,-38.1726300005083,145.928199995113
SAINT ARNAUD HOSPITAL,-36.6087400187137,143.247650032333
SAINT JOHN OF GOD HOSPITAL,-37.5573499991226,143.847369983874
FRANKSTON COMMUNITY HOSPITAL,-38.1498499957701,145.127369988116
COBRAM HOSPITAL,-35.915400043311,145.651259949591
COLAC HOSPITAL,-38.3392899902425,143.583759981343
CASTERTON MEMORIAL HOSPITAL,-37.5903000252916,141.392800074385
KYNETON HOSPITAL,-37.2481800009839,144.444309985916
OAKLEIGH COMMMUNITY HOSPITAL,-37.8962399917334,145.09152999133
BOORT HOSPITAL,-36.1148499952255,143.724310014324
YARRAM HOSPITAL,-38.557350015303,146.678760001278
KERANG HOSPITAL,-35.7240099989989,143.917649992434
GOULBURN VALLEY BASE HOSPITAL,-36.3640099927671,145.404029981621
WYCHEPROOF HOSPITAL,-36.0790099641437,143.227920032124
WARRACKNABEAL HOSPITAL,-36.2540099799981,142.381530000986
PENSHURST HOSPITAL,-37.8756800088213,142.29070001936
CORRYONG HOSPITAL,-36.1987399886088,147.903479989135
DANDENONG HOSPITAL,-37.9765099970651,145.219309974217
MANANGATANG HOSPITAL,-35.0509599586075,142.881809949863
MARYBOROUGH HOSPITAL,-37.0453999999296,143.737089973732
MURTOA HOSPITAL,-36.6190099813871,142.469590015953
SAINT JOHN OF GOD HOSPITAL,-38.3717899846553,142.478479986028
WARRNAMBOOL BASE HOSPITAL,-38.3803999843518,142.472369970318
MOORABBIN HOSPITAL,-37.9208999889569,145.063499997508
YACKANDANDAH HOSPITAL,-36.3109599846965,146.845419994456
DIMBOOLA HOSPITAL,-36.4496999779011,142.024200011528
ALTONA HOSPITAL,-37.869009995588,144.828479993087
AFTER CARE HOSPITAL,-37.8078999948628,144.984869985517
WILLIAMSTOWN HOSPITAL,-37.8629000008148,144.891259983819
MAROONDAH HOSPITAL,-37.8067899985025,145.255139977762
ROYAL SOUTHERN MEMORIAL HOSPITAL,-37.8831799916126,145.018199981522
NUMURKAH MEMORIAL HOSPITAL,-36.0995700348258,145.443479973456
SAINT VINCENTS HOSPITAL,-37.8069299962198,144.975559983238
SANDRINGHAM HOSPITAL,-37.9598499920106,145.017089978337
SAINT GEORGES HOSPITAL,-37.8081799895313,145.052920010676
OMEO HOSPITAL,-37.0970699629914,147.596529972087
DONALD HOSPITAL,-36.3673500107397,142.976529987014
RUTHERGLEN HOSPITAL,-36.0570700000132,146.459309972904
TATURA HOSPITAL,-36.4401300209374,145.227369980521
TAWONGA GENERAL HOSPITAL,-36.7398499782117,147.168199986263
Maffra Hospital,-37.9611999857541,146.983400028942
SKIPTON HOSPITAL,-37.6837399967739,143.367370003686
ST VINCENTS HOSPITAL,-37.8069299962198,144.975559983238
ST JOHN OF GOD HOSPITAL,-37.5573499991226,143.847369983874
ST GEORGES HOSPITAL,-37.8081799895313,145.052920010676
ST JOHN OF GOD HOSPITAL,-38.3717899846553,142.478479986028
ST ARNAUD HOSPITAL,-36.6087400187137,143.247650032333
UPPER GOULBURN HOSPITAL,-37.5695700032551,146.25041999142
MANSFIELD HOSPITAL,-37.0576000050052,146.086459995953
BENALLA MEMORIAL HOSPITAL,-36.5554000001908,145.995699969507
PETER MACCALLUM CANCER CENTRE,-37.7999999978828,144.956629977276
