Place_Names,Longitude,Latitude
NUNAWADING POLICE STATION,-37.8173499925181,145.182369993214
RINGWOOD POLICE STATION,-37.8131399985963,145.227139990914
SUNSHINE POLICE STATION,-37.7775800002171,144.831359973439
RICHMOND POLICE STATION,-37.8174499959292,144.999579987924
ORBOST POLICE STATION,-37.7066499923104,148.455999999504
BENTLEIGH POLICE STATION,-37.9167899920784,145.036529975657
MELTON POLICE STATION,-37.6858299945963,144.577939983158
RUSSELL STREET,-37.8076299977016,144.967919978488
EPPING POLICE STATION,-37.646740002672,145.025889998923
HURSTBRIDGE POLICE STATION,-37.6399800001397,145.19283998588
GLEN HUNTLY POLICE STATION,-37.8898499933504,145.042920009491
TORQUAY POLICE STATION,-38.3255100773116,144.318049995055
PORT MELBOURNE POLICE STATION,-37.8403999960452,144.940699996659
PORTARLINGTON POLICE STATION,-38.1153399935983,144.657889983412
PRESTON EAST POLICE STATION,-37.740130001373,145.027639979474
YACKANDANDAH POLICE STATION,-36.3106399844734,146.842509994965
BRIDGEWATER POLICE STATION,-36.6017000010553,143.940009998299
COHUNA POLICE STATION,-35.8113391581912,144.221529834878
GOROKE POLICE STATION,-36.718570027183,141.47168004089
BUNINYONG POLICE STATION,-37.651559997085,143.884649996912
WHITFIELD POLICE STATION,-36.763959977244,146.414249979856
WHITTLESEA POLICE STATION,-37.5101700001983,145.118619964804
MINYIP POLICE STATION,-36.4580799783427,142.589180013307
WERRIBEE POLICE STATION,-37.8939699967902,144.681039992101
WESTMEADOWS POLICE STATION,-37.6754000004054,144.887639982694
MOUNT WAVERLY POLICE STATION,-37.8806799901849,145.12847999861
QUAMBATOOK POLICE STATION,-35.8522699638058,143.521400013382
MELBOURNE RUSSELL STREET,-37.8076299977016,144.967919978488
SHEPPARTON POLICE STATION,-36.3815299874559,145.397979973736
TUNGAMAH POLICE STATION,-36.1650399953641,145.880830019409
NEERIM SOUTH POLICE STATION,-38.0183099984382,145.954259993445
MOYHU POLICE STATION,-36.5781699821504,146.37517001153
