Place_Names,Longitude,Latitude
GLADSTONE PARK SHOPPING CENTRE,-37.6880200002892,144.884779972829
WHITEHORSE PLAZA SHOPPING CENTRE,-37.8180399871927,145.119730007005
SOUTHLAND SHOPPING CENTRE,-37.961379987585,145.054449989649
WANTIRNA MALL SHOPPING CENTRE,-37.8469299949664,145.229449975784
WARREN VILLAGE,-37.9933199934198,145.092779983449
MELTON REGIONAL SHOPPING CENTRE,-37.686269995608,144.563089969683
KUMALA VILLAGE SHOPPING CENTRE,-37.8419299978466,145.256949973564
CHADSTONE SHOPPING CENTRE,-37.8864699920848,145.082989990888
CAULFIELD PARK SHOPPING CENTRE,-37.8727599919576,145.024169979621
DONCASTER SHOPPINGTOWN,-37.7841499964419,145.126390009565
TUNSTALL SQUARE SHOPPING CENTRE,-37.7913799906161,145.171669997925
MEADOW FAIR SHOPPING CENTRE,-37.6816500025914,144.919169959571
HARGRAVES MALL,-36.7601300020994,144.280150006619
PINEWOOD SHOPPING CENTRE,-37.894429994277,145.143059969562
HIGHPOINT CITY SHOPPING CENTRE,-37.7738800011401,144.88944998876
BEAUMARIS CONCOURSE,-37.986929992369,145.03444998134
KNOX CITY SHOPPING CENTRE,-37.8680399966955,145.238059982956
MOUNTAIN GATE SHOPPING CENTRE,-37.8838799983825,145.275279983736
BORONIA SHOPPING CENTRE,-37.8609999970966,145.287569976137
VERMONT SOUTH SHOPPING CENTRE,-37.8552599937436,145.182229988065
KILSYTH SHOPPING CENTRE,-37.8032399993856,145.311199977441
EASTLAND SHOPPING CENTRE,-37.8129799997293,145.229069990597
TOORONGA VILLAGE SHOPPING CENTRE,-37.8469299922467,145.045280002771
BULLEEN VILLAGE SHOPPING CENTRE,-37.7666499959393,145.091670002495
AIRPORT WEST SHOPPING TOWN,-37.7133200026505,144.887779996584
FRANKSTON SHOPPING CENTRE,-38.1419299945771,145.12527999536
FOREST HILL CHASE,-37.8388799894114,145.164449988955
KARINGAL HUB SHOPPING CENTRE,-38.1531499954326,145.165599968035
BRANDON PARK SHOPPING CENTRE,-37.9044299956448,145.161949938174
DALLAS SHOPPING CENTRE,-37.6733199993162,144.930559990502
GLEN WAVERLEY SHOPPING CENTRE,-37.8777599906718,145.164729989628
WENDOUREE VILLAGE,-37.534359998543,143.824810026086
CRANBOURNE PARK SHOPPING CENTRE,-38.1088099972489,145.282109975527
ENDEAVOUR HILLS SHOPPING CENTRE,-37.9767999968492,145.2593499692
FOUNTAIN GATE REGIONAL SHOPPING CENTRE,-38.0177500002107,145.303969977858
HAMPTON PARK SHOPPING CENTRE,-38.03272999665,145.265889961842
NORTHLAND SHOPPING CENTRE,-37.7384700015513,145.030389983178
WILLSMERE VILLAGE SHOPPING CENTRE,-37.79692999325,145.035279987964
BELFORD COURT SHOPPING CENTRE,-37.7919299950773,145.047779999341
OLD ORCHARD SHOPPING CENTRE,-37.8116499873781,145.151950002117
SCORESBY VILLAGE SHOPPING CENTRE,-37.8994299975232,145.232779980403
THRIFT PARK SHOPPING CENTRE,-37.983319994268,145.076949990313
PALM PLAZA,-37.9859599968341,145.215139978897
ANDREW PLACE SHOPPING CENTRE,-37.7013800001762,145.07194999103
BERWICK VILLAGE MARKET,-38.0305399971168,145.34444996836
ALTONA GATE SHOPPING CENTRE,-37.8269300006559,144.848059971221
PLENTY HILL SHOPPING CENTRE,-37.7002600002141,145.058059972552
RIVER ESPLANADE,-37.8242899972867,144.945699994538
HAMPTON PARK CENTRAL,-38.03272999665,145.265889961842
SETTLERS SQUARE,-37.9891499965361,145.210559978343
GATEWAY SHOPPING CENTRE,-37.8885199956429,145.292959987148
WELLS ROAD SHOPPING VILLAGE,-38.0480099941033,145.14127997994
