Place_Names,Longitude,Latitude
IRYMPLE,142.172250069386,-34.2411100280344
SWAN HILL,143.562520053548,-35.3414899840647
BURRUMBEET,143.657199998279,-37.4718399995438
CULGOA,143.103779989274,-35.7210599612933
CURDIE,142.961810013795,-38.4492899897042
CASTERTON,141.403270076804,-37.5872900278346
CAVENDISH,142.037550034862,-37.5301200113392
MERRINEE,141.801580013088,-34.3697401551663
KARAWINNA,141.697370004474,-34.3790100405061
WARRAGUL,145.933129989123,-38.1651099988183
STONY POINT,145.221839989492,-38.373989995686
KATAMATITE,145.691089924551,-36.0880400182697
BAYSWATER,145.268159979643,-37.8417099976252
BOCHARA,141.926090078117,-37.7023400061422
NETHERBY,141.650240014365,-36.1114199830694
MINYIP,142.583300010061,-36.4606299790148
MIRAM,141.345549999178,-36.3535799771506
MOOLORT,143.922149952561,-37.053029999758
MORTAT,141.373050055062,-36.7253300289321
MORTON PLAINS,142.886830021569,-36.0854199725754
BENETOOK,141.99735006086,-34.3569601309521
BERRYBANK,143.489799968645,-37.983769988208
BIRREGURRA,143.783309951843,-38.328720015773
MURTOA,142.471600013043,-36.6142099804736
MYAMYN,141.7223100221,-37.9976800036397
MURRAYVILLE,141.185780028511,-35.261929930784
CHINKAPOOK,142.946009986626,-35.1872399823329
CLUNES,143.781939994613,-37.3027199943793
COBDEN,143.065399960282,-38.3255599892111
MARNOO,142.872500037632,-36.6694399944143
NAROGHID,143.081390005725,-38.2609999907902
RAVENSWOOD,144.223640001977,-36.8998199992875
COROMBY,142.517740016023,-36.5501199837528
MALDON,144.073949988909,-36.9924100011457
MALMSBURY,144.375299986701,-37.1897799990594
MALVERN,145.029309984452,-37.8661199922691
CORIO,144.379889949887,-38.0724099958367
NORTH SHORE,144.365479971708,-38.0981299970443
MORRADOO RAILWAY STATION,145.189999995348,-38.3541499973559
NYORA,145.670449992873,-38.3330299959938
OAKLEIGH,145.088309987438,-37.9003699925372
WINDSOR,144.992029987033,-37.8560499966513
WODONGA,146.886110081066,-36.119389946541
RICHMOND,144.989599979962,-37.8238399962854
SURREY HILLS,145.098779976971,-37.8241499877861
LINDENOW,147.432920063494,-37.8251300127369
NICHOLSON,147.733289976465,-37.8146399924031
