,Suburb_Name,Growth_Rate
0,Nhill Region,0.20046646881855695
1,West Wimmera,0.19799200756026486
2,Yarriambiack,0.19740668474692366
3,Kerang,0.1693503749558036
4,Rushworth,0.16441939496783273
5,St Albans - South,0.16052207605033392
6,Frankston North,0.1598978163487828
7,Kyabram,0.15966010902703548
8,Ardeer - Albion,0.15906743714791835
9,St Arnaud,0.15573539572158354
10,Cobram,0.15552066820817778
11,Maryborough Surrounds,0.15534011214693855
12,Buloke,0.15228178021276753
13,St Albans - North,0.15197995895754593
14,Southern Grampians,0.14927152755996245
15,Hoppers Crossing - South,0.1446268105437591
16,Sunshine West,0.13919013380994794
17,Kings Park (Vic.),0.1361559886102895
18,Campbellfield - Coolaroo,0.13102161866061104
19,Hamilton (Vic.),0.1293982099911731
20,Reservoir - South East,0.1284331660586688
21,Beaufort,0.12807697147660638
22,Fawkner,0.12774298182467664
23,Narre Warren North,0.12718843932638257
24,Swan Hill Surrounds,0.12588082622335817
25,Loddon,0.12464317556181277
26,Point Cook - East,0.12410030857338476
27,Corangamite - North,0.12289180654954464
28,Portland,0.12206445076949272
29,Epping - South,0.12152336479811568
30,Broadmeadows,0.11947893796977058
31,Elwood,0.11921352738299251
32,Reservoir - North West,0.1191389384196038
33,Mildura Surrounds,0.11808426570182728
34,Camperdown,0.11643163919584232
35,Cranbourne North - West,0.11609362126795349
36,Reservoir - South West,0.11540848284075234
37,Rockbank - Mount Cottrell,0.11455477321275194
38,Footscray,0.1140175297643633
39,Merbein,0.11357756169240477
40,Stawell,0.11331114195418002
41,Horsham,0.1130507886648858
42,Keysborough - North,0.1116523219719527
43,Moira,0.11157317563780225
44,Ararat Surrounds,0.11044025386062162
45,Wallan,0.11016848295576245
46,Altona Meadows,0.10922857827198698
47,Elsternwick,0.10869858871505704
48,Colac Surrounds,0.10752559187307124
49,Alexandra,0.1071206030142637
50,Doveton,0.10702491133507645
51,St Kilda - West,0.10680404410877586
52,Werribee - East,0.10630303065264506
53,Heathcote,0.10516998261470276
54,Yarram,0.10447162502658365
55,Swan Hill,0.10302000955726272
