Suburb_Name,sa2_2021,Growth_Rate
Narre Warren North,212021299,0.09626991804183886
Kerang,215031402,0.08659919919431461
Upper Yarra Valley,204011061,0.08257650710472181
North Melbourne,206041506,0.08143228536964994
St Kilda - West,206051514,0.07988804432152283
Carnegie,208021176,0.07862309346340245
Clayton (North) - Notting Hill,212051567,0.07828058252996038
Maribyrnong,213031349,0.0748786429481311
St Kilda East,206051134,0.0744809224956604
Elwood,206051129,0.07402369751122773
Benalla Surrounds,204021064,0.07214532028574047
Burwood (Vic.),207031165,0.07156870859055298
Clayton - Central,212051568,0.07070107151590224
Yea,204011062,0.07063757151892201
Elsternwick,208021179,0.06940649163565762
Research - North Warrandyte,209031214,0.06764631613534586
Ararat Surrounds,215011387,0.06657596313805454
Hawthorn East,207011152,0.06541614659148538
St Kilda - Central,206051513,0.06537188336701724
Panton Hill - St Andrews,209031212,0.0651534560419855
Northcote - West,206021500,0.06482270697684323
Fitzroy North,206071143,0.0647831762794456
Malvern East,208041195,0.06451420554493129
South Melbourne,206051512,0.06434450079523465
Alphington - Fairfield,206021110,0.06434257473535676
Carlton,206041117,0.0640441698423475
Oakleigh - Huntingdale,212051326,0.0637602432555539
Noble Park - East,212041459,0.0634135157744152
Caulfield - South,208021178,0.06291338365853805
Ormond - Glen Huntly,208021182,0.06289202682467535
Docklands,206041118,0.06271420405400605
Carlton North - Princes Hill,206071140,0.06238661786865842
Caulfield - North,208021177,0.062365170861374754
Fitzroy,206071142,0.06168249908190071
Alexandra,204011054,0.061667357657865796
Seymour Surrounds,204011060,0.06042077835376007
Thornbury,206021112,0.06031401457847298
Williamstown,213021346,0.060219397110204
Boronia,211011446,0.060166027443343095
Ivanhoe,209011200,0.060076578020489914
Loddon,202031033,0.05979945274210887
Lilydale - Coldstream,211051278,0.05910226297527106
Altona Meadows,213021342,0.05881526644756909
Plenty - Yarrambat,209031213,0.05797658805442363
Yarraville,213031352,0.05793860502295628
Frankston,214011371,0.05787859204158047
Armadale,206061135,0.05784743371037506
Parkville,206041124,0.05702840013632633
Ringwood,211031266,0.05664540235591671
Abbotsford,206071139,0.05660905523710984
Essendon - East,206031502,0.05639462182897076
Hughesdale,208021180,0.05625098475594208
Springvale,212041317,0.05622806364970977
Winchelsea,203011036,0.05619627471633474
Port Melbourne,206051130,0.05609422806597668
Balwyn,207011147,0.05582916885013869
Burnside Heights,213041462,0.055690986036971514
Hawthorn - South,207011520,0.05540749970324595
Melbourne CBD - East,206041503,0.05520915789749342
Tarneit (West) - Mount Cottrell,213051582,0.054393112564927605
Melbourne CBD - West,206041505,0.05410869136299212
Werribee - South,213051368,0.05391660928758729
Box Hill,207031163,0.05375909610813806
Kensington (Vic.),206041121,0.05366403156842873
Collingwood,206071141,0.05359584148862686
Creswick - Clunes,201021010,0.053453742347505606
Coburg - East,206011497,0.053098218880372736
Clayton South,212041310,0.05307021674582686
Footscray,213031348,0.05306516023454316
Bendigo Surrounds - North,202031032,0.05299688610249729
Bendigo,202011018,0.05290199867244274
Surrey Hills (East) - Mont Albert,207031167,0.0528415696808915
Foster,205031087,0.0524626584821869
Blackburn,207031161,0.052231389917521964
Doveton,212021295,0.05212758111604682
Brunswick - North,206011495,0.05211395245224768
Castlemaine,202021027,0.05192687533494948
Glen Waverley - East,212051321,0.051819776424062367
Bentleigh - McKinnon,208021174,0.05168861559910877
Murrumbeena,208021181,0.051660512334294494
Montrose,211051280,0.051564657642371
Mount Dandenong - Olinda,211051282,0.05150983166947907
West Melbourne - Residential,206041510,0.0511149002931494
Doncaster,207021157,0.05102137490951129
Brunswick West,206011107,0.05098185165579224
Mount Waverley - South,212051324,0.05076329477162979
Clifton Hill - Alphington,206071145,0.050438848524246585
West Wimmera,215011393,0.05010371469544185
Fawkner,210031237,0.04948896296632614
Mentone,208031190,0.04919072974692998
Bayswater,211011251,0.0490744928887905
Heidelberg West,209011199,0.04886161662709586
Richmond (South) - Cremorne,206071517,0.04883724880488011
Narre Warren South - West,212031458,0.048702454816810355
Brunswick - South,206011496,0.048549422461392544
St Albans - North,213011334,0.048532707147743145
Mitcham (Vic.),211041270,0.04852996324909181
Prahran - Windsor,206061136,0.048467318263164
Kew - South,207011521,0.04799415066345007
Surrey Hills (West) - Canterbury,207011155,0.04795517733713327
Chelsea - Bonbeach,208031186,0.0477675745496134
Nagambie,204011058,0.0477013128775022
Richmond - North,206071518,0.04759611008762174
Rowville - Central,211011256,0.04751246203026567
Wallan,209041224,0.047377970074457064
West Footscray - Tottenham,213031351,0.047343589025147535
Moonee Ponds,206031116,0.04707864448244562
Maryborough Surrounds,201031017,0.04682976433626885
Essendon (West) - Aberfeldie,206031501,0.04675597805644428
Ringwood East,211031267,0.04671725675207028
Reservoir - South West,209021526,0.046607018318960566
Knoxfield - Scoresby,211011254,0.046553826271903145
Keysborough - North,212041565,0.046550245192419105
Swan Hill Surrounds,215031405,0.04639714431997996
Sunbury,210041240,0.04632729857346839
Whittlesea,209041225,0.046287309556853395
Keilor Downs,213011332,0.046106567332853766
Heidelberg - Rosanna,209011198,0.045986824216061886
Yarram,205051104,0.04571979961584995
Delahey,213011331,0.04557072246929078
Melbourne CBD - North,206041504,0.04530306241516
Beaufort,201031014,0.044999247399440674
Altona,213021341,0.044973550048878874
Caroline Springs,213041463,0.0448124813613597
Bulleen,207021156,0.0447686458095412
Coburg - West,206011498,0.044730973350046624
Reservoir - North East,209021523,0.04465553096447675
Noble Park - West,212041460,0.04462674858529039
Heathcote,202021029,0.04447428895076803
Cranbourne North - East,212031559,0.04442828482545241
Rowville - North,211011257,0.04417593421335246
Lakes Entrance,205021084,0.043969517630451926
Hoppers Crossing - South,213051362,0.04387339400807683
Newport,213021344,0.04376894102832914
Langwarrin,214011374,0.043566767116991464
Brunswick East,206011106,0.043483442796422474
Ferntree Gully - North,211011447,0.043427661127023606
Bacchus Marsh Surrounds,201021009,0.04340852274656381
Shepparton Surrounds - East,216031418,0.04320657473187305
Stawell,215011392,0.043143398253553324
Ballarat North - Invermay,201011482,0.04301488256091246
Ashwood - Chadstone,212051319,0.04296663895991274
Albert Park,206051128,0.04292104572406236
Yarriambiack,215011394,0.04276867407483807
Seddon - Kingsville,213031350,0.04274314379561288
Mordialloc - Parkdale,208031193,0.04267275875546435
Seabrook,213021345,0.04266811971256838
Merbein,215021396,0.04256882051263354
Southbank - East,206041509,0.042506282293863856
Wyndham Vale - South,213051590,0.04244077246070562
Clarinda - Oakleigh South,212041309,0.042251967963607515
Greenvale - Bulla,210051246,0.04222668652361765
Springvale South,212041318,0.042200322438859614
Rockbank - Mount Cottrell,213041359,0.0421711885593044
Kings Park (Vic.),213011333,0.042150830055929574
Templestowe,207021159,0.04210042289614974
Hillside,213041575,0.042088541558315776
Hampton,208011172,0.0420840466254909
Korumburra,205031089,0.041968558117223644
Newcomb - Moolap,203021045,0.04178454375948397
Braybrook,213031347,0.04174768568062093
Gisborne,210021232,0.04167291859268764
Preston - West,209021429,0.04162617646125943
Doncaster East - South,207021425,0.04160753523196603
Frankston North,214011372,0.041565412471846794
Fraser Rise - Plumpton,213041574,0.04132583209768461
St Albans - South,213011335,0.04131843906749437
Endeavour Hills - South,212021454,0.04128698184671169
Red Cliffs,215021399,0.04124766792763072
Ardeer - Albion,213011328,0.04118706291126932
Rowville - South,211011258,0.041140918373753624
Preston - East,209021428,0.04102405940042066
Gladstone Park - Westmeadows,210051245,0.040904373070020414
Kinglake,209031211,0.04084881060474293
Taylors Lakes,213011340,0.04077627929277421
Avoca,201031013,0.04054217329944624
Malvern - Glen Iris,208041194,0.04053124113938964
Truganina - South West,213051588,0.04029789481702575
Wodonga,204031492,0.040182609679004035
Pascoe Vale,210031538,0.040032921977791916
Oak Park,210031537,0.04003048767465456
Romsey,210021235,0.03999798411229804
Ascot Vale,206031113,0.03987423732421228
Glen Waverley - West,212051322,0.03976155457914693
Longford - Loch Sport,205051100,0.03942124367661386
Kew East,207011154,0.039408579379594015
Ferntree Gully (South) - Upper Ferntree Gully,211011448,0.039382954850078485
Bayswater North,211031263,0.0392174328441581
Bunyip - Garfield,212011547,0.03907965361103865
The Basin,211011449,0.039072744073277474
Blackburn South,207031162,0.038933694613536
Point Cook - East,213051464,0.03880669918395463
Viewbank - Yallambie,209011203,0.03868097155947897
Tullamarine,210051250,0.038565262301354604
Camberwell,207011149,0.038277877343547595
Glen Iris - East,207011150,0.03818116831615094
Craigieburn - North West,210051542,0.038177819068700436
Wheelers Hill,212051327,0.03806998397415112
Euroa,204011055,0.037834541077658046
Kilsyth,211051277,0.03769486407238027
Laverton,213051363,0.03763351110120742
Balwyn North,207011148,0.03763319371945816
Healesville - Yarra Glen,211051276,0.03732981105182835
Sunbury - South,210041540,0.037321115496428484
Mount Waverley - North,212051323,0.037300030855908516
Chiltern - Indigo Valley,204031070,0.03726248311896903
Moyne - East,217041477,0.037026523019465
Coburg North,210031236,0.03700915626322452
Cranbourne,212031300,0.03696658330619061
Moorabbin - Heatherton,208031191,0.036846143459812145
Wantirna,211011259,0.03684180055084014
Pearcedale - Tooradin,212031308,0.03680210559042689
Colac Surrounds,217031473,0.036791495977759575
Leongatha,205031090,0.03679006393671538
Craigieburn - Central,210051441,0.03676318218667287
Toorak,206061138,0.036705828016930286
Flora Hill - Spring Gully,202011021,0.03669918551886523
Yarra Valley,211051286,0.03665391782133047
Forest Hill,211041269,0.03654708315908537
Golden Plains - North,201031015,0.036286156944802694
Flemington,206031115,0.03623688786647344
Buloke,215031400,0.03621892745074573
Altona North,213021343,0.03621515390197829
Vermont,211041272,0.03617684957110928
Castlemaine Surrounds,202021028,0.03615800087398869
Cobram,216021411,0.03615366799128908
Bendigo Surrounds - South,202021026,0.035948877580008545
Hawthorn - North,207011519,0.035946333099150234
Cairnlea,213011329,0.03553844222927667
Chirnside Park,211051275,0.03549636183631475
Camperdown,217031471,0.03547807661200398
Carrum - Patterson Lakes,208031185,0.035456883739645374
East Bendigo - Kennington,202011020,0.035232145617842006
Trafalgar (Vic.),205011078,0.035231951992589675
Corangamite - North,217031474,0.03519466418704249
Avondale Heights,210011533,0.035038008237426116
Edithvale - Aspendale,208031189,0.034956692508585754
Moe - Newborough,205041095,0.034900789547004055
Mount Baw Baw Region,205011077,0.03476187362574458
Bentleigh East - South,208021427,0.034720990602712755
Mooroolbark,211051281,0.03458499728973356
Seaford (Vic.),214011375,0.03454637733206009
Yallourn North - Glengarry,205041098,0.034520973647707495
Northcote - East,206021499,0.03438998443284198
Canadian - Mount Clear,201011483,0.03434265402281332
Keysborough - South,212041566,0.03414950199488383
Hamilton (Vic.),217011421,0.03411975747720483
Mulgrave,212051325,0.03403025665315742
Koo Wee Rup,212011548,0.0339870608667699
Croydon - East,211031450,0.03393383628156897
Kew - West,207011522,0.03386476163635375
Manor Lakes - Quandong,213051579,0.03367437274101255
Shepparton - South East,216031594,0.03357919279982686
Wyndham Vale - North,213051589,0.03351235147771335
Vermont South,211041273,0.03348358837841352
Daylesford,201021011,0.03347274967359658
Kyabram,216011407,0.03343893905047128
Phillip Island,205031091,0.03335431917756937
Sydenham,213011339,0.03334735449846283
Brighton East,208011170,0.033182389936423605
Pascoe Vale South,206011109,0.03316594329164628
Somerville,214021385,0.033157779901803464
Corangamite - South,217031475,0.03300913639692665
Bruthen - Omeo,205021082,0.032944239071346984
Eltham,209031209,0.03274858930501587
Shepparton Surrounds - West,216031419,0.03273987767299325
Wendouree - Miners Rest,201011008,0.03262113051211663
Lysterfield,211011255,0.032517155680046914
Croydon South,211031452,0.032438317457624315
Geelong West - Hamlyn Heights,203021040,0.03239958114309553
Narre Warren - South West,212021456,0.03235580558265972
Ivanhoe East - Eaglemont,209011201,0.03228023128080736
Maryborough (Vic.),201031016,0.03219842994809256
Roxburgh Park (South) - Somerton,210051544,0.03210849702087658
Southern Grampians,217011423,0.032026694149773625
Wantirna South,211011260,0.031910602560359075
Highett (West) - Cheltenham,208011171,0.03183151995754586
Highton,203021042,0.0317627078292101
Geelong,203021039,0.031639564788303313
Burwood East,207031166,0.03148736869140557
Nhill Region,215011390,0.03118344173865737
Clyde North - South,212031556,0.031176014806755782
Sebastopol - Redan,201011484,0.031141690821841976
Ararat,215011386,0.031052875018240576
Sandringham - Black Rock,208011173,0.031020220793927133
Dromana,214021377,0.030735353751989276
Beechworth,204031068,0.030592921904420877
West Wodonga,204031073,0.030473156086230368
Ballarat East - Warrenheip,201011481,0.030361173135261533
Corio - Lovely Banks,203021486,0.030342043003130557
Leopold,203021044,0.03021578345464911
Endeavour Hills - North,212021453,0.03014913740381116
Doncaster East - North,207021424,0.030017830540801878
Keilor,210011228,0.03000687481848364
Morwell,205041096,0.03000382082432454
Reservoir - South East,209021525,0.02999856942602163
Horsham,215011388,0.02999523216761881
Yackandandah,204031075,0.02979415389978668
Rosedale,205051102,0.029712438713778693
Hoppers Crossing - North,213051361,0.029702623100325714
Taylors Hill,213041360,0.029596167528838768
Burnside,213041461,0.029528963591014284
Tarneit - North,213051584,0.029499057321192783
Roxburgh Park - North,210051545,0.029459009936502394
Rushworth,216011410,0.029434627573893944
Churchill,205041094,0.029428203536714735
Gordon (Vic.),201021012,0.029416804003081616
Lockington - Gunbower,216011408,0.029404641631888506
Campbellfield - Coolaroo,210051243,0.02908671518680055
Bairnsdale,205021081,0.028990991176396214
Montmorency - Briar Hill,209011202,0.02891393584899856
Hallam,212021297,0.028822746265090005
Buninyong,201011005,0.028772466464261404
Point Cook - South,213051466,0.02873612048680633
Mildura Surrounds,215021398,0.028645982171178985
Numurkah,216021413,0.02863432780627112
St Arnaud,215011391,0.028314148992484627
Monbulk - Silvan,211051279,0.028205865170858248
Emerald - Cockatoo,212011289,0.028034973643225013
