Suburb_Name,sa2_2021,Growth_Rate
Loddon,202031033,0.37278953255132574
Ararat Surrounds,215011387,0.3100349581673018
Morwell,205041096,0.2598959607274361
Sebastopol - Redan,201011484,0.25021564691467446
Yarriambiack,215011394,0.24437521248664992
Yarram,205051104,0.24407207141669382
Buloke,215031400,0.22681009876892108
Nagambie,204011058,0.22240869642029165
Moe - Newborough,205041095,0.22014559384344662
Kerang,215031402,0.2137011683071805
Nhill Region,215011390,0.2099724880697567
Wendouree - Miners Rest,201011008,0.20412288168308973
Avoca,201031013,0.2013670713496596
Ballarat East - Warrenheip,201011481,0.19993445575819432
Maryborough Surrounds,201031017,0.19919014127597068
Canadian - Mount Clear,201011483,0.19749242835300418
Southern Grampians,217011423,0.19248019379144715
Leongatha,205031090,0.19195398160414373
Newcomb - Moolap,203021045,0.1892022876446941
Maryborough (Vic.),201031016,0.1885426584010252
Chiltern - Indigo Valley,204031070,0.18668963734151234
Norlane,203021488,0.1865844617701588
Alexandra,204011054,0.18510278050786227
Ballarat North - Invermay,201011482,0.18411973106814927
Burwood (Vic.),207031165,0.18257511541049656
Drouin,205011076,0.1820279593846458
Beaufort,201031014,0.17681525856481983
Maffra,205051101,0.1762940051988479
Corio - Lovely Banks,203021486,0.17606789910034504
Heathcote,202021029,0.17436322824389625
Delacombe,201011006,0.17407285618887486
Bendigo Surrounds - North,202031032,0.17390307787612094
Benalla Surrounds,204021064,0.17305278515649283
Seymour Surrounds,204011060,0.1728467878642388
Leopold,203021044,0.1705973995456684
California Gully - Eaglehawk,202011019,0.1693785073134237
Trafalgar (Vic.),205011078,0.16462953332786995
Lakes Entrance,205021084,0.16247162839406415
Sale,205051103,0.15894362259089323
Rosedale,205051102,0.157905739013355
Rushworth,216011410,0.15768535368958
Euroa,204011055,0.1556781955743019
Swan Hill Surrounds,215031405,0.1556741061262735
Upper Yarra Valley,204011061,0.1553057659868086
Churchill,205041094,0.151275121140127
Flora Hill - Spring Gully,202011021,0.1508350609240489
Belmont,203021037,0.15029502737437295
Korumburra,205031089,0.14948409484409375
Numurkah,216021413,0.1492967984670727
West Wodonga,204031073,0.14846064223083097
Buninyong,201011005,0.1476877689677259
Horsham Surrounds,215011389,0.1474223660133609
Towong,204031072,0.14542535491413439
