Suburb_Name,sa2_2021,Growth_Rate
Narre Warren North,212021299,0.12837113738542252
Elwood,206051129,0.09177693546721957
St Kilda - West,206051514,0.0874774015207506
Point Cook - East,213051464,0.08697765311519995
North Melbourne,206041506,0.07940520939674635
Cranbourne,212031300,0.07683742492905475
Buloke,215031400,0.07652052604086576
Carlton,206041117,0.07167168056434278
Elsternwick,208021179,0.07158977105060324
St Kilda - Central,206051513,0.07125411382149605
Carnegie,208021176,0.07064445207417089
Kerang,215031402,0.07015779997941769
Hawthorn East,207011152,0.06930623969034691
Maribyrnong,213031349,0.06738825676786356
West Wimmera,215011393,0.06497388046470778
South Melbourne,206051512,0.0644357051735023
Northcote - West,206021500,0.06412750468266666
Ararat Surrounds,215011387,0.06214555949650065
Caulfield - South,208021178,0.06128053821823133
Prahran - Windsor,206061136,0.06064684753816141
Fraser Rise - Plumpton,213041574,0.05994902187027316
St Kilda East,206051134,0.05900429600797118
Brunswick West,206011107,0.056586732768015256
Seddon - Kingsville,213031350,0.05634271532457371
Williamstown,213021346,0.05620403975561837
Ascot Vale,206031113,0.05612186245026353
Essendon - East,206031502,0.05521441592812944
Armadale,206061135,0.054629434104242945
Seabrook,213021345,0.0544129114321627
Alphington - Fairfield,206021110,0.054387563919778226
Malvern East,208041195,0.05382237044461441
Ormond - Glen Huntly,208021182,0.05365309290534133
Caulfield - North,208021177,0.053601624525038846
Fitzroy,206071142,0.05271679337810854
Hillside,213041575,0.05246500189113371
Murrumbeena,208021181,0.05243871987106828
Yarraville,213031352,0.05190468978492315
Surrey Hills (East) - Mont Albert,207031167,0.05109290925962039
Ivanhoe,209011200,0.05076696587890063
Footscray,213031348,0.049919956991503256
Abbotsford,206071139,0.04941793958575798
Clyde North - North,212031555,0.049362703492312934
Point Cook - South,213051466,0.04891701448344836
Ballarat,201011002,0.04865982401206214
Parkville,206041124,0.047013805213154694
Thornbury,206021112,0.046723869719082496
Malvern - Glen Iris,208041194,0.04670627922560209
