,SA2,SA2 NAME,2012,2013,2014,2015,2016,2017,2018,2019
0,201011001,Alfredton,51670.07395056885,52993.21221146687,54624.78350694444,56373.600963855424,57746.69678475737,60026.081134194275,62315.12741465996,63668.27412692452
1,201011002,Ballarat,61177.13223140496,63669.22087175189,65506.66801845896,67216.71065989848,72754.45337837838,71895.1452476573,74671.36638101516,77875.69387755102
2,201011003,Ballarat - North,48946.98003810155,50871.715079167705,52023.79088165729,53016.99408142046,54660.32766059444,56067.36666925285,59786.48779574723,60366.69760258862
3,201011004,Ballarat - South,41918.13193943763,43625.17388968481,44721.796781568766,45473.45183749009,46143.21320149189,47676.111969760605,49041.0364405401,50778.31630246816
4,201011005,Buninyong,53538.21603970742,55674.65600825167,56765.49910187323,58010.96873424105,58292.42514371407,60008.74745021855,61564.81501787843,63257.766533301954
5,201011006,Delacombe,43298.24386356391,45581.3651184251,46312.18908775981,48355.7295392954,49260.43574555756,50741.37747858017,52198.85876623377,54844.57315265721
6,201011007,Smythes Creek,45269.70324645633,47338.734165923284,49268.49343257443,50298.612658227845,52009.991796200346,54313.75880646498,56171.8554313099,59735.341076267905
7,201011008,Wendouree - Miners Rest,41695.54082073434,43593.03058373769,44266.65520295203,45558.03337236534,47309.589402055884,47545.05464480874,49104.23702978605,50403.980487804874
8,201021009,Bacchus Marsh Region,50218.37414745047,51398.73134328358,52574.428479381444,54168.098738849585,55485.365361077114,57510.42632331903,66628.45072836333,61564.745520716686
9,201021010,Creswick - Clunes,43597.40924523374,44973.25873221216,45297.78785569106,45964.69319319319,48087.49290060852,50497.1662603608,51503.91901663051,52233.11504424779
10,201021011,Daylesford,42417.69341161122,43006.835680751174,44634.100815728925,45981.00425877104,46609.6238,49000.23222565688,50440.08377558757,52043.69811672571
11,201021012,Gordon (Vicnp),45824.826618229854,48620.30662358643,49887.84705882353,52709.54658000619,54516.123704866564,56551.26743840902,57959.56920464195,60424.15551885494
12,201031013,Avoca,33237.74129651861,34429.86380368098,36570.2309567337,39754.83754512636,39127.77873918418,41427.342925659475,43798.458136792455,46334.74825986079
13,201031014,Beaufort,37839.05247225025,37320.49522373052,39510.11160936722,41926.674118231495,48944.27788649707,45354.65823970037,48542.18937644342,49835.2614638448
14,201031015,Golden Plains - North,41813.65268614515,43143.360916316036,43803.24326791419,45755.692585895114,46708.77956269523,48034.73728457335,50393.67939861845,52791.66706349207
15,201031016,Maryborough (Vicnp),38101.320629159105,39190.839715048976,39450.00543970988,40456.21703792896,40883.45350929814,42842.89009009009,44231.130295995354,45694.080285714284
16,201031017,Maryborough Region,35649.35140815469,36983.67593763169,38189.20118093631,38491.14090909091,38557.65590947192,40631.69572368421,42490.255842062856,44469.15508885299
17,202011018,Bendigo,48021.24961119751,49763.57472349609,50959.69753506741,52504.79826292933,54347.159195904605,55160.81314603764,56943.57079989645,59825.31746631407
18,202011019,California Gully - Eaglehawk,40336.43910130075,41954.109844165716,42755.68338028169,43640.57235890014,44850.034110685694,45857.10410359906,47779.10282942603,49686.57830754657
19,202011020,East Bendigo - Kennington,48835.14834605598,51148.84132936764,52386.978396668404,54023.32566508161,54514.808697937195,55550.73076435543,57893.93340886203,60577.19116927593
20,202011021,Flora Hill - Spring Gully,47467.385986229245,49303.99107142857,49064.01301115242,51326.168351557666,52722.05305532618,53538.22267839687,54870.23306848278,57803.95746254855
21,202011022,Kangaroo Flat - Golden Square,41967.7812946702,43556.28356234097,44457.59630981346,46419.68761220826,47180.948165001486,48010.05375516877,49833.48875717377,51787.252189949286
22,202011023,Maiden Gully,49457.34053275738,51118.425026586316,52207.11821974965,54248.101895734595,55422.91426657736,56980.18362040949,59250.512488144166,60380.95652173913
23,202011024,Strathfieldsaye,54393.55376588022,57426.45938314509,59180.32055022926,61395.92283277128,61389.58928923016,62078.46999263623,64328.66943169785,66427.18591263122
24,202011025,White Hills - Ascot,45790.97798682973,47664.42545126354,48548.108450222375,50257.970801742216,50746.4453313253,51738.81657569664,54303.99557338498,56161.108040859086
25,202021026,Bendigo Region - South,48890.84319953797,49888.97649034425,52417.52462923729,54183.98768225239,55569.832669322706,57423.24964936887,59454.93426916221,60617.22744928787
26,202021027,Castlemaine,42126.238216810685,43742.708242735716,44848.52004603875,45495.94831163932,46477.6170411985,48000.48902706657,50840.92380261248,52122.324257425746
27,202021028,Castlemaine Region,41137.45854100589,42789.42511210762,41706.37825319806,43825.45163398693,45273.8788482835,48155.55888605442,50249.025747508305,51341.405620888974
28,202021029,Heathcote,39319.12212943633,40284.086528497406,43280.95354772843,44158.28180039139,45047.074483421435,46459.90498369819,49636.67479674797,52294.93578387954
29,202021030,Kyneton,47268.20935412027,48725.752660622784,51634.148162182646,51692.28079178886,53299.79851714551,56113.68905472637,58008.95007800312,60982.029183535764
30,202021031,Woodend,57841.993546652324,60276.92751677852,60928.318692810455,63360.607757513484,66262.5319363797,68669.05768766595,70793.4335273574,73992.78594104308
31,202031032,Bendigo Region - North,42158.18198362147,44589.05426008969,46148.33629498001,49372.762359063316,47204.729066199034,50123.95823293173,53185.67850098619,53994.675094339626
32,202031033,Loddon,35570.35482046932,39514.00533857825,40013.43958215697,40470.35661971831,37386.35274888558,43213.99026624678,48535.93419210305,49540.858650374896
33,203011034,Bannockburn,52563.673378839594,53209.90978886756,55112.920062208395,55921.406384814494,57412.03053435114,59878.761745827986,61745.981545275594,64568.49027052682
34,203011035,Golden Plains - South,46343.596175478066,47436.86549547077,49453.94052744887,50917.32928405273,52873.06012738853,54335.14634742243,56477.48403635516,58864.09632503994
35,203011036,Winchelsea,48483.3052662898,49429.06571513529,48701.33613202084,51989.04950773558,52878.79451667609,54166.86756238004,59171.55519742143,62699.08199273482
36,203021037,Belmont,46221.21151374968,48340.48409848679,49791.8515674984,49871.898627376904,50759.221693386775,51749.54548807475,53673.8473501615,56270.980986819086
37,203021038,Corio - Norlane,41551.54507512521,42901.81799942677,44190.583630923655,44756.585514418955,45572.40429925842,46400.62832820141,47322.91852502195,48364.2518106788
38,203021039,Geelong,55307.58352219704,56806.75699323876,58454.987600580396,61518.61607378129,61780.21014584655,63406.1965010142,64680.49056603773,67477.747263208
39,203021040,Geelong West - Hamlyn Heights,51040.00471872687,53671.37923709246,54609.82768804799,56556.0827951202,58308.235939032,60422.245333104984,63101.85571274923,65809.20924846259
40,203021041,Grovedale,46766.938123752494,48516.79193959243,49424.5469858156,50590.02598385469,51566.53514599104,53685.482734614314,55567.33747331651,57797.33850601841
41,203021042,Highton,57020.7650990099,59167.07340631037,59659.56237250902,62642.8564379337,63055.51009717583,64334.298257273666,66088.63260375214,69711.936282439
42,203021043,Lara,53608.515168730824,55388.470725995314,55623.65061153805,56585.8369417425,57985.04234160345,60325.51354301022,62036.01555534478,63782.70784044016
43,203021044,Leopold,48271.71206102018,49507.14958702967,51019.48994569206,52248.81782566111,51720.9715064758,53080.298074351434,55092.51305379747,56566.49725274725
44,203021045,Newcomb - Moolap,42384.31155442496,43982.45088368269,44950.09656801445,45100.845012926926,46081.53839913467,47208.32732060566,48158.82933637863,50278.719537945595
45,203021046,Newtown (Vicnp),69703.07458424324,69854.08137222406,73628.17174019209,76708.56988906498,77265.74363807729,79885.469927096,83647.90285032085,85348.51379259478
46,203021047,North Geelong - Bell Park,47804.28772720868,48746.307271418285,50618.49582985821,52089.665141934616,53699.30969899666,55080.71334096401,56636.190750736016,59181.21415027258
47,203031048,Clifton Springs,46171.29397369226,47490.762373240505,49036.18490345231,49944.723902854705,51334.21985525058,56090.58311822406,55035.791785936526,55927.29116300904
48,203031049,Lorne - Anglesea,45995.37809647979,46380.05456285897,48627.88092229943,49990.27091633466,51307.78863565408,54969.91103838143,56809.029462738305,58665.53998280309
49,203031050,Ocean Grove - Barwon Heads,52785.468697719465,54335.23451966364,56976.243121084764,58666.54794826048,60270.34451759043,62731.846153846156,64214.76305910797,66855.54041319319
50,203031051,Portarlington,41979.02686202686,44031.23470623864,45237.74985163205,47861.585139318886,47631.93675450763,49270.204685890836,51821.594693281404,53903.6815655396
51,203031052,Point Lonsdale - Queenscliff,53192.77270985052,55084.42113564669,57043.216372021525,56436.258633921716,57128.435477731255,56949.253137325206,60223.856800274065,62489.735048446375
52,203031053,Torquay,56781.26715686275,57901.39094488189,61020.17435267435,63363.28369048687,64148.87388568432,64721.349731663686,68033.78910231282,71515.2679323336
53,204011054,Alexandra,38781.35781990521,38556.914444769995,39170.84728340676,41921.9591954023,44043.690235690236,45641.70883644347,46204.5140562249,48414.21641386782
54,204011055,Euroa,37900.866211806584,38598.411097852026,40612.42970123023,42046.85702030312,41192.244967394385,43582.0943814005,45870.014588494356,46405.11364872213
55,204011056,Kilmore - Broadford,48075.83821478382,50284.952403028896,50761.7997911383,52538.41014492753,53586.11165523996,55063.24809415541,56871.431089949816,59376.27890227245
56,204011057,Mansfield (Vicnp),39051.022013250695,39683.56344856661,40695.17397600331,42809.12990692027,44327.981056829514,47336.12619138391,46771.977150287945,49202.50426574696
57,204011058,Nagambie,42017.43163672655,43060.224284997494,44905.1827852998,47005.82874475035,48331.492093023255,50523.236807095345,53482.90762711864,56205.609233305855
58,204011059,Seymour,43619.32810047096,44542.7396956246,45873.72106918239,45848.76806563585,47073.15875968992,48148.2713130056,49885.3433681073,51935.74453632605
59,204011060,Seymour Region,52530.28944723618,49785.68743818002,52533.40067178503,53614.021911421914,51077.69377080361,55077.24321959755,56193.28450106157,58016.09250203749
60,204011061,Upper Yarra Valley,34208.95698924731,35059.58974358974,36649.19540229885,37732.95294117647,40417.705128205125,40517.0,43070.614583333336,45296.1030927835
61,204011062,Yea,40220.895018746654,40927.83427689141,41724.0509329299,44051.81674096087,44683.98452321518,45806.22635962763,47069.5321888412,49592.74822190611
62,204021063,Benalla,41734.068652379225,43333.98303229338,44301.63285024155,45087.07733580018,46545.06094849944,47384.106292673925,48684.28638667632,50342.94238538556
63,204021064,Benalla Region,38081.885222381636,38810.81411192214,41058.878143133465,41925.17015341701,42565.503314393936,43965.01994434137,45395.88449295134,46121.33108412056
64,204021065,Rutherglen,43669.72655889145,45759.22968679074,48054.48119619393,50096.134745380805,50197.1074829932,50129.84622222222,51788.01045296167,53195.79280821918
65,204021066,Wangaratta,43535.88428831747,45613.80975954738,47225.68847072879,48518.51836855619,49351.975012297095,51227.80080266249,53216.244318726625,54320.800987935785
66,204021067,Wangaratta Region,40225.49327122153,41188.3442679558,44685.91100379441,46680.325953678475,46567.0795907751,46916.74324551099,48494.86608177454,50364.154647566334
67,204031068,Beechworth,43343.80811036789,43885.04914004914,46171.693729903534,48342.44766758134,49678.78694158076,49669.04990548204,50023.383875739644,51861.237787356324
68,204031069,Bright - Mount Beauty,38178.29038949066,39082.53952434881,41666.08463949843,43101.405494505496,43428.56025140876,44687.79612257661,46724.4087605975,48315.50865671642
69,204031070,Chiltern - Indigo Valley,45174.7449704142,46103.57049763033,47466.7535653166,49667.880446927375,49831.74757281553,50525.09829968119,52982.09714889123,53354.38857142857
70,204031071,Myrtleford,39138.47435897436,40907.97328094303,42255.91411764706,44529.6534351145,44838.40066592675,45776.23901712584,47691.3853606028,49515.25070721358
71,204031072,Towong,42749.510713237454,41415.679953447776,44243.257749712975,46558.293211637196,48292.14396551724,47641.36738148984,47150.214521452144,50034.33703190014
72,204031073,West Wodonga,46606.28183845391,48194.28244463689,50906.02133995037,52505.16381714563,53464.701608971234,53907.03497843795,54887.05554259043,57813.140745872304
73,204031074,Wodonga,46987.410021641415,48694.45167828766,50410.47394931528,51957.15405589639,52448.98018315568,53330.8623533594,54529.44146057409,56834.77246145667
74,204031075,Yackandandah,48252.8036444775,48786.83980582524,50221.78871201158,52287.2047769582,52726.631802120144,54067.47461752434,54936.41380482829,57182.960346551146
75,205011076,Drouin,43396.98865836791,43959.32475971301,45975.03419811321,47271.91405269762,48051.05810907359,49765.31440850486,51698.357569180684,53202.48745262727
76,205011077,Mount Baw Baw Region,45464.421594586645,45050.15883402737,49289.340718562875,50249.933570581255,50019.10503472222,50079.80763790665,50685.8152114223,52721.62815013405
77,205011078,Trafalgar (Vicnp),49429.01429980276,49662.975751697384,52033.04318936877,53576.92585684309,53125.4014648661,53295.8054884742,54698.0888452303,57124.34084626834
78,205011079,Warragul,48585.25419111484,49059.30757373343,50932.99490560384,52660.64453732504,53105.44576192682,54476.86331192006,56425.22156661536,58776.08464052287
80,205021081,Bairnsdale,43071.701475912,44563.14178272981,45576.32183592139,47291.22838433783,47798.50556064372,47567.2110268603,48730.90178796273,50621.8298314195
81,205021082,Bruthen - Omeo,38458.782507559896,40142.448745015245,41358.55920901357,43571.920404876924,43560.06828143022,45058.71428571428,44547.52873060957,44542.276956055735
83,205021084,Lakes Entrance,39566.67102040816,40581.98902464278,42801.97252747253,43031.09733441034,43737.22459572769,44002.03268101761,44328.54727685325,46725.34212988958
84,205021085,Orbost,38379.70307167235,38720.27794935145,41697.28938302537,42653.19885823026,42313.27661659046,45331.9728694542,42589.26195686152,43739.13588957055
85,205021086,Paynesville,39731.01707650273,41477.56893659846,42348.48552845528,42954.43537630994,43639.956050955414,45451.21678538247,45800.174646190906,47930.65597920278
86,205031087,Foster,39659.94365012616,37098.31992254733,42784.37363109298,44116.241466498104,45396.44333827579,44847.1871140387,44045.473759153785,47090.19791875125
87,205031088,French Island,25760.76785714286,22575.237288135595,20473.326530612245,22725.830508474577,32979.16129032258,27363.683333333334,32021.867924528302,21230.279069767443
88,205031089,Korumburra,42395.16204262163,41076.127790292856,44788.0475035375,45564.91072498502,45759.95774929916,47025.99747032497,49538.128355387526,49776.735949880225
89,205031090,Leongatha,44546.64708745741,43732.25882352941,47549.461197703036,48934.51371204701,48678.867897037395,49073.10865445357,50610.34349245841,53338.40769822941
90,205031091,Phillip Island,41203.411135327915,40772.57238132601,41917.25299600533,42838.812009490786,44175.135446175635,45021.15453639083,46340.514831177024,48135.80808080808
92,205031093,Wonthaggi - Inverloch,42933.48525943396,40933.10548196848,42410.55578827114,44644.10377619795,44740.112867418524,45521.704238591694,47392.474615132654,49340.01181567546
93,205041094,Churchill,52920.29401028704,54494.75117213664,56745.80943617199,58822.75994084785,59032.99501578335,59802.50655658086,59176.94432035737,60666.78311729371
94,205041095,Moe - Newborough,48379.750350989154,50006.16303069889,51882.468026677125,52750.73749676082,54157.13582651604,53941.33898524463,54039.80895030426,56147.56442559561
95,205041096,Morwell,45698.627581720604,47128.398796590336,48379.66352148273,50347.32862903226,50309.02701316465,50456.937128292266,49916.53719008264,50880.30403051916
96,205041097,Traralgon,56592.08734665265,59021.40552439111,59735.30937107795,62000.575391376,63479.08138268917,62237.37009345795,64109.08351893096,66226.1667408585
97,205041098,Yallourn North - Glengarry,55250.60424862313,58339.0932,60209.86340103544,62368.090382387025,62311.15016103059,62654.774826789835,62652.73216329645,64814.16432791728
98,205051099,Alps - West,21836.382352941175,18342.675675675677,29169.470588235294,26420.513513513513,21787.703703703704,30856.166666666668,27803.956521739132,33602.73684210526
99,205051100,Longford - Loch Sport,48516.298407806884,50420.979948586115,54142.47929606625,57032.40922473013,53851.93556085919,55478.79099678456,53400.27837837838,55264.8048886949
