address,latitude_ori,longitude_ori,year,month,nbed,nbath,ncar,postcode,SA2_CODE,residence_type,dist_to_cbd_KM,min_distance_to_park,min_distance_to_prim,min_distance_to_second,min_distance_to_train,min_distance_to_hosp,min_distance_to_poli,min_distance_to_shop,weekly_rent
"- KILLARNEY LANE, MERRIJIG",-37.1264454,146.220257,2019,3,2.0,2.0,1,3723,204011057,House,223.87275,10.39895,9.195530000000002,17.33702,31.46938,17.25138,17.94772,,350.0
". MCNAUGHTONS ROAD, LONGFORD",-38.1729788,147.2310302,2019,4,4.0,2.0,6,3851,205051100,House,228.61723,14.50316,15.07818,,,,,,450.0
". SHERBROOK LODGE ROAD, PORT CAMPBELL",-38.6176729,142.9985769,2019,4,3.0,1.0,0,3269,217031475,House,229.0437,0.31185,32.24172,38.4537,17.06491,17.4788,0.0499099999999999,,550.0
".275 SOLDIERS SETTLERS ROAD, TALLANGATTA VALLEY",-36.2142709,147.3184912,2019,12,3.0,1.0,2,3701,204031072,House,367.34544,12.32206,5.23339,15.68916,5.419,14.93634,14.76891,,280.0
"003/903 DANDENONG ROAD, MALVERN EAST",-37.876178,145.046128,2019,5,1.0,1.0,0,3145,208041195,Apartment,13.86135,0.9325,0.9188,2.494,2.208,,,3.96501,290.0
"010/903 DANDENONG ROAD, MALVERN EAST",-37.876178,145.046128,2019,10,1.0,1.0,0,3145,208041195,Apartment,13.86135,0.9325,0.9188,2.494,2.208,,,3.96501,315.0
"02/1 O'CONNELL STREET, NORTH MELBOURNE",-37.82041001,145.01137001,2019,12,1.0,1.0,0,3051,206071517,Apartment,5.34485,1.20604,2.07995,0.63771,1.82003,,,,350.0
"02/1023 DANDENONG ROAD, MALVERN EAST",-37.8820953,145.0513214,2019,7,1.0,1.0,0,3145,208041195,Apartment,14.7613,0.4448,1.15644,1.66879,2.2699000000000003,,,3.1398,290.0
"02/1023 DANDENONG ROAD, MALVERN EAST",-37.8820953,145.0513214,2019,10,1.0,1.0,0,3145,208041195,Apartment,14.7613,0.4448,1.15644,1.66879,2.2699000000000003,,,3.1398,305.0
"02/1023 DANDENONG ROAD, MALVERN EAST",-37.8820953,145.0513214,2019,11,1.0,1.0,0,3145,208041195,Apartment,14.7613,0.4448,1.15644,1.66879,2.2699000000000003,,,3.1398,305.0
"02/949 DANDENONG ROAD, MALVERN EAST",-37.878553,145.048352,2019,8,1.0,1.0,0,3145,208041195,Apartment,14.4741,0.8499800000000001,1.38586,2.14696,2.85652,,,3.61797,305.0
"03 IMAGE WALK, COBURG NORTH",-37.726,144.96,2019,11,2.0,2.0,1,3058,210031236,House,11.97424,0.15333,,1.11175,0.78725,,,,450.0
"09 CORLETT STREET, FRANKSTON EAST",-38.1316849002,145.1324926002,2019,7,3.0,2.0,1,3199,214011371,House,51.8997,2.00964,0.56401,1.57074,1.61758,2.5084,1.81854,1.75945,435.0
"1 / 1 JACKMAN COURT, GOLDEN SQUARE",-36.773563,144.23630301,2019,5,3.0,1.0,2,3555,202011022,House,149.68534,2.61897,2.19543,3.08223,3.64324,,,,330.0
"1 / 14 RAE STREET, BENDIGO",-36.752319,144.26092,2019,9,2.0,1.0,1,3550,202011018,House,152.12877,0.7787999999999999,1.0723900000000002,1.5342,3.72803,2.84185,2.22053,2.83048,250.0
"1 / 142 MCKINNON ROAD, MCKINNON",-37.9110175,145.0371915,2019,1,2.0,1.0,1,3204,208021174,Apartment,16.96515,,1.75131,2.09064,0.08474,,0.7953,,420.0
"1 / 17 MAROONA ROAD, GLEN HUNTLY",-37.889495,145.047844,2019,11,2.0,1.0,0,3163,208021176,Apartment,15.43713,1.33313,0.37475,,1.55645,,,,380.0
"1 / 17 MYOORA ROAD, TOORAK",-37.843763,145.020493,2019,5,2.0,1.0,1,3142,206061138,House,8.603909999999999,1.58958,1.46044,1.53998,1.34381,,,,490.0
"1 / 19 SUNRAY AVENUE, CHELTENHAM",-37.962894,145.062987,2019,12,3.0,2.0,1,3192,208031188,House,27.40512,1.39747,0.63771,2.55643,1.84667,,0.90008,1.22761,520.0
"1 / 2 FRANCIS STREET, POREPUNKAH",-36.696613,146.910343,2019,12,1.0,1.0,1,3740,204031069,Apartment,308.75525,0.23383,0.40292,37.30663,0.50172,37.63518,7.23774,,220.0
"1 / 2 SALMON STREET, MENTONE",-37.978751,145.062228,2019,9,1.0,1.0,1,3194,208031190,Apartment,25.26515,1.07943,1.14798,0.95999,0.93241,,0.87672,1.81526,300.0
"1 / 22A FERNHILL ROAD NORTH, SANDRINGHAM",-37.951567,145.007408,2019,3,2.0,1.0,1,3191,208011173,Apartment,18.12344,1.49939,0.14402,1.27399,0.67059,1.6105,0.76485,,410.0
