,year,month,address,latitude,longitude,postcode,sa2_2021,sa2_2016,residence_type,nbed,nbath,ncar,min_distance_to_cbd,min_distance_to_park,min_distance_to_prim,min_distance_to_second,min_distance_to_train,min_distance_to_hosp,min_distance_to_poli,min_distance_to_shop,weekly_rent
0,2020,11,". 'WILLOW COTTAGE' TARCOMBE RD, AVENEL",-36.9451175,145.2967456,3664,204011058,204011058,House,3.0,1.0,1,126.1111,18.377,9.08981,,10.60099,,28.86936,,250.0
1,2020,11,". 'WILLOW COTTAGE' TARCOMBE ROAD, AVENEL",-36.9496976,145.3090184,3664,204011058,204011058,House,3.0,1.0,1,127.42434,19.690240000000003,10.40304,,11.91423,,30.18259,,250.0
2,2020,4,". UNDER APPLICATION ., DOLLAR",-38.53884001,146.16754001,3871,205031087,205031087,House,3.0,2.0,0,158.61377,6.05915,6.98571,19.96922,15.76803,20.72416,15.85114,,370.0
3,2020,5,". UNDER APPLICATION ., FAIRBANK",-38.40972001,145.92736001,3951,205031090,205031090,House,3.0,2.0,2,135.618,10.3244,10.17627,9.78421,6.724489999999999,10.80624,9.5112,,420.0
4,2020,1,".275 SOLDIERS SETTLERS ROAD, TALLANGATTA VALLEY",-36.2142709,147.3184912,3701,204031072,204031072,House,3.0,1.0,2,367.34544,12.32206,5.23339,15.68916,5.419,14.93642,14.76891,,280.0
5,2020,6,".4 BURNETT STREET, YARRAGON",-38.204743,146.062346,3823,205011078,205011078,House,3.0,1.0,1,117.01551,0.91479,0.60114,9.59293,0.6766,,0.57072,,300.0
6,2020,7,".4 BURNETT STREET, YARRAGON",-38.204743,146.062346,3823,205011078,205011078,House,3.0,1.0,1,117.01551,0.91479,0.60114,9.59293,0.6766,,0.57072,,300.0
7,2020,3,"0 MANAGERS RESIDENCE, BOLINDA VALE, CLARKEFIELD",-37.48284001,144.7528001,3430,210021235,210021235,House,3.0,1.0,2,50.62358,15.87879,0.88293,14.93019,0.8554400000000001,,15.97593,,330.0
8,2020,3,"003/903 DANDENONG ROAD, MALVERN EAST",-37.876178,145.046128,3145,208041195,208041195,Apartment,1.0,1.0,0,13.86135,0.9325,0.9188,2.494,2.208,,,3.96501,305.0
9,2020,6,"005/903 DANDENONG ROAD, MALVERN EAST",-37.876178,145.046128,3145,208041195,208041195,Apartment,1.0,1.0,0,13.86135,0.9325,0.9188,2.494,2.208,,,3.96501,270.0
10,2020,9,"01/17 MACQUARIE STREET, PRAHRAN",-37.85054,144.992182,3181,206061136,206061136,Apartment,1.0,1.0,0,6.76544,,0.87658,0.16912,0.65365,,1.34207,,260.0
