,address,latitude,longitude,nbed,nbath,ncar,price,type,historical_dates,postcode,year,month,suburb,weekly_rent
860,"27 ACACIA WAY, CHURCHILL",-38.301581,146.415178,3.0,1.0,0,$125_Week,House,November 2006,3842,2006,11,CHURCHILL,125
1525,"1 GAYLE COURT, CLAYTON SOUTH",-37.957438,145.133572,3.0,1.0,2,$180_Week,Rental_residential,October 2006,3169,2006,10,SOUTH,180
2091,"5 / 5 BURNS AVE, CLAYTON SOUTH",-37.936524,145.134469,2.0,1.0,1,$230,Apartment,December 2006,3169,2006,12,SOUTH,230
2733,"10/2 MONASH GREEN DRIVE, CLAYTON",-37.918788,145.127626,2.0,1.0,1,$240,Unit,December 2006,3168,2006,12,CLAYTON,240
4260,"9 BURTON AVENUE, CLAYTON",-37.926327,145.115883,4.0,3.0,1,$250,Townhouse,November 2006,3168,2006,11,CLAYTON,250
5171,"-37.93001,145.421908, CLEMATIS",-37.93001,145.421908,3.0,1.0,0,$220_Week,House,November 2006,3782,2006,11,CLEMATIS,220
5392,"2/30 EDMUND ST, CLIFTON HILL",-37.787664,145.004331,2.0,1.0,1,$260,Unit/apmt,October 2006,3068,2006,10,HILL,260
5800,"2/6 FORD STREET, CLIFTON HILL",-37.791295,144.997988,1.0,1.0,1,$175,Unit/apmt,November 2006,3068,2006,11,HILL,175
6153,"14 KIEWA STREET, CLIFTON HILL",-37.79235,145.000221,2.0,1.0,0,$340,Rental_residential,November 2006,3068,2006,11,HILL,340
8676,"3/5 INDUSTRY LANE, COBURG",-37.74493,144.96469,2.0,1.0,1,$300,Rental_residential,December 2006,3058,2006,12,COBURG,300
8678,"2/29 COBURG STREET, COBURG",-37.747604,144.970613,3.0,1.0,1,$260_Week,Available Now,November 2006,3058,2006,11,COBURG,260
9084,"4/36 THE GROVE, COBURG",-37.751916,144.969914,2.0,1.0,1,$255,Townhouse,December 2006,3058,2006,12,COBURG,255
10688,"22 GLEN ROAD, COCKATOO",-37.937274,145.486381,2.0,1.0,0,$200_Week,House,November 2006,3781,2006,11,COCKATOO,200
809,"29A VICTORIA PARADE, COLLINGWOOD",-37.808649,144.983618,2.0,1.0,0,$270,Rental_residential,November 2006,3066,2006,11,COLLINGWOOD,270
1046,"11/99 OXFORD STREET, COLLINGWOOD",-37.80365372,144.98460388,1.0,1.0,1,$290,Unit,November 2006,3066,2006,11,COLLINGWOOD,290
4311,"19 VENTNOR ROAD, COWES",-38.463337,145.235389,3.0,1.0,2,$900_Week,House,November 2006,3922,2006,11,COWES,900
1918,"8/82 BURWOOD HIGHWAY, BURWOOD EAST",-37.85173416,145.13832092,2.0,1.0,1,$190,Unit/apmt,October 2006,3151,2006,10,EAST,190
3018,"16 BEDDOWS STREET, BURWOOD",-37.853564,145.117521,4.0,2.0,1,$300,House,December 2006,3125,2006,12,BURWOOD,300
3019,"16 BEDDOWS STREET, BURWOOD",-37.853564,145.117521,4.0,2.0,1,$300_Week,House,November 2006,3125,2006,11,BURWOOD,300
4738,"252 HIGHFIELD ROAD, CAMBERWELL",-37.848314,145.082571,3.0,2.0,3,$680,House,November 2006,3124,2006,11,CAMBERWELL,680
5129,"9/5 ACHERON AVENUE, CAMBERWELL",-37.84073639,145.0660553,2.0,1.0,0,$230,Unit/apmt,October 2006,3124,2006,10,CAMBERWELL,230
5405,"2/596 RIVERSDALE ROAD, CAMBERWELL",-37.83227158,145.06324768,2.0,1.0,1,$270,Available Now,November 2006,3124,2006,11,CAMBERWELL,270
5571,"3/894-896 TOORAK ROAD, CAMBERWELL",-37.84629822,145.05543518,3.0,2.0,1,$400,Rental_residential,December 2006,3124,2006,12,CAMBERWELL,400
5689,"5/27 THOMAS STREET, CAMBERWELL",-37.84245682,145.09342957,2.0,1.0,1,$270,Unit/apmt,November 2006,3124,2006,11,CAMBERWELL,270
118,"1711/668 BOURKE STREET, MELBOURNE",-37.816897,144.953675,3.0,2.0,2,$540,Available Now,December 2006,3000,2006,12,MELBOURNE,540
3297,"32 CHRISTOPHER CRESCENT, MELTON",-37.685577,144.573168,3.0,1.0,1,$185_Week,House,November 2006,3337,2006,11,MELTON,185
3298,"32 CHRISTOPHER CRESCENT, MELTON",-37.685577,144.573168,3.0,1.0,1,$185,House,November 2006,3337,2006,11,MELTON,185
3972,"3/30 SEA PARADE, MENTONE",-37.98299789,145.05371094,2.0,1.0,1,$270,Rental_residential,October 2006,3194,2006,10,MENTONE,270
4635,"1/77 PATTY STREET, MENTONE",-37.97831,145.066961,3.0,1.0,1,$375,Rental_residential,December 2006,3194,2006,12,MENTONE,375
4670,"8/2-4 SALMON STREET, MENTONE",-37.9790535,145.06227112,1.0,1.0,1,$145,Rental_residential,November 2006,3194,2006,11,MENTONE,145
4699,"6 / 8 COMMERCIAL ROAD, MENTONE",-37.985738,145.065634,2.0,1.0,1,$300_Week,none,November 2006,3194,2006,11,MENTONE,300
4700,"6 / 8 COMMERCIAL ROAD, MENTONE",-37.985738,145.065634,2.0,1.0,1,$290,none,November 2006,3194,2006,11,MENTONE,290
4724,"5/5 STATION STREET, MENTONE",-37.98222351,145.06625366,1.0,1.0,1,$185,Rental_residential,November 2006,3194,2006,11,MENTONE,185
4823,"1/50 BALCOMBE ROAD, MENTONE",-37.981502,145.068097,3.0,3.0,2,$480,Rental_residential,November 2006,3194,2006,11,MENTONE,480
5489,"12/56 MILAN STREET, MENTONE",-37.98303223,145.06063843,2.0,1.0,1,$200,Rental_residential,November 2006,3194,2006,11,MENTONE,200
5714,"125C SEVENTH STREET, MERBEIN SOUTH",-34.2045981,142.0387241,4.0,2.0,2,$250_Week,House,November 2006,3505,2006,11,SOUTH,250
6013,"51 BOUNDARY ROAD, MEREDITH",-37.826186,144.044756,3.0,1.0,1,$180_Week,House,October 2006,3333,2006,10,MEREDITH,180
7210,"172 CANTERBURY ROAD, MIDDLE PARK",-37.853158,144.969079,2.0,1.0,0,$355_Mid,House,November 2006,3206,2006,11,PARK,355
7471,"23 WRIGHT STREET, MIDDLE PARK",-37.84669,144.96075,3.0,3.0,1,$330_Mid,none,December 2006,3206,2006,12,PARK,330
7561,"1/18 PATTERSON STREET, MIDDLE PARK",-37.85435104,144.96452332,2.0,1.0,1,$275_Mid,Rental_residential,November 2006,3206,2006,11,PARK,275
7577,"204 RICHARDSON STREET, MIDDLE PARK",-37.848215,144.958765,2.0,1.0,1,$550_Mid,Rental_residential,December 2006,3206,2006,12,PARK,550
7804,"10/109 NIMMO STREET, MIDDLE PARK",-37.849121,144.963098,2.0,1.0,1,$1457,Rental_residential,November 2006,3206,2006,11,PARK,1457
7941,"4/72 PATTERSON STREET, MIDDLE PARK",-37.85546112,144.96662903,1.0,1.0,1,$220_Mid,Rental_residential,December 2006,3206,2006,12,PARK,220
7975,"11/5 - 7 HAROLD STREET, MIDDLE PARK",-37.848476,144.961384,1.0,1.0,1,$340_Mid,Rental_residential,December 2006,3206,2006,12,PARK,340
7989,"3/51 NIMMO STREET, MIDDLE PARK",-37.850501,144.962039,2.0,1.0,1,$375_Mid,none,November 2006,3206,2006,11,PARK,375
8261,"2/51 NIMMO STREET, MIDDLE PARK",-37.850501,144.962039,2.0,1.0,1,$360_Mid,Rental_residential,October 2006,3206,2006,10,PARK,360
8297,"326 RICHARDSON STREET, MIDDLE PARK",-37.852041,144.965831,2.0,1.0,1,$350_Mid,Rental_residential,November 2006,3206,2006,11,PARK,350
8497,"3/82 PATTERSON STREET, MIDDLE PARK",-37.85563278,144.9669342,2.0,1.0,0,$335_Mid,Unit/apmt,October 2006,3206,2006,10,PARK,335
8664,"5/2 CAMERON AVENUE, MILDURA WEST",-34.181651,142.151354,2.0,1.0,1,$135,Unit/apmt,December 2006,3500,2006,12,WEST,135
10608,"42 SEVENTH STREET, MILDURA",-34.189769,142.171985,3.0,1.0,2,$200,Rental_residential,November 2006,3500,2006,11,MILDURA,200
12778,"17 PATRICK STREET, MILLGROVE",-37.746826,145.661548,3.0,1.0,0,$175_Week,House,November 2006,3799,2006,11,MILLGROVE,175
550,"23 WANDONG AVENUE, WANDONG",-37.35751785,145.02833315,2.0,1.0,1,$170_Week,House,November 2006,3758,2006,11,WANDONG,170
1230,"17 HINCHLEY STREET, WANGARATTA",-36.356764,146.299309,3.0,1.0,2,$240_Week,House,November 2006,3677,2006,11,WANGARATTA,240
1892,"2/13 THOMSON STREET, WANGARATTA",-36.368739,146.318901,2.0,1.0,1,$120_Week,none,October 2006,3677,2006,10,WANGARATTA,120
4783,"63 NORTH ROAD, WARRAGUL",-38.159412,145.949167,3.0,2.0,2,$185_Week,House,November 2006,3820,2006,11,WARRAGUL,185
4784,"63 NORTH ROAD, WARRAGUL",-38.159412,145.949167,3.0,2.0,2,$200,House,November 2006,3820,2006,11,WARRAGUL,200
5756,"20 DAISY STREET, WARRANWOOD",-37.771689,145.244089,4.0,2.0,2,$380_Week,House,November 2006,3134,2006,11,WARRANWOOD,380
242,"62B TWEDDLE PLACE, GISBORNE SOUTH",-37.543852,144.592628,3.0,1.0,0,$190_Week,Unit/apmt,November 2006,3437,2006,11,SOUTH,190
1007,"27 DUNFIELD DRIVE, GLADSTONE PARK",-37.686147,144.895315,3.0,1.0,3,$225_Week,House,November 2006,3043,2006,11,PARK,225
1363,"1 DINGLEY CLOSE, GLADSTONE PARK",-37.686288,144.89869,3.0,1.0,1,$230,House,November 2006,3043,2006,11,PARK,230
1761,"8/15 WARATAH AVENUE, GLEN HUNTLY",-37.891661,145.042483,1.0,1.0,1,$157,Available Now,November 2006,3163,2006,11,HUNTLY,157
2686,"1146 GLEN HUNTLY ROAD, GLEN HUNTLY",-37.89224,145.04113,2.0,1.0,1,$250_Week,Unit/apmt,November 2006,3163,2006,11,HUNTLY,250
2687,"1146 GLEN HUNTLY ROAD, GLEN HUNTLY",-37.89224,145.04113,2.0,1.0,1,$250,Unit/apmt,November 2006,3163,2006,11,HUNTLY,250
2786,"6/11 BELMONT AVENUE, GLEN IRIS",-37.85740662,145.04795837,1.0,1.0,1,$195,Unit/apmt,December 2006,3146,2006,12,IRIS,195
2812,"22 ELLIS ROAD, GLEN IRIS",-37.86,145.046815,4.0,2.0,2,$680,none,October 2006,3146,2006,10,IRIS,680
3062,"7/1492 MALVERN ROAD, GLEN IRIS",-37.853953,145.047567,1.0,1.0,1,$145,Unit/apmt,November 2006,3146,2006,11,IRIS,145
3663,"9/1555 HIGH STREET, GLEN IRIS",-37.85981369,145.06015015,1.0,1.0,1,$200,Unit/apmt,November 2006,3146,2006,11,IRIS,200
4139,"8/46 SCOTT GROVE, GLEN IRIS",-37.85461426,145.050354,2.0,1.0,1,$265,none,December 2006,3146,2006,12,IRIS,265
4505,"2 FERNDALE ROAD, GLEN IRIS",-37.855005,145.06852,5.0,2.0,2,$750,Available Now,December 2006,3146,2006,12,IRIS,750
4865,"46A WILLS STREET, GLEN IRIS",-37.856816,145.056936,2.0,1.0,1,$295,Unit/apmt,November 2006,3146,2006,11,IRIS,295
5183,"9A LITHGOW STREET, GLEN IRIS",-37.850125,145.081979,2.0,1.0,1,$270,House,November 2006,3146,2006,11,IRIS,270
7585,"1/37 GYTON AVENUE, GLEN WAVERLEY",-37.86565018,145.16069031,3.0,1.0,1,$280,Unit/apmt,December 2006,3150,2006,12,WAVERLEY,280
1177,"1/1 FRANCESCO STREET, BENTLEIGH EAST",-37.92020035,145.05574036,3.0,1.0,2,$250,Rental_residential,December 2006,3165,2006,12,EAST,250
1768,"21 ROCHFORD STREET, BENTLEIGH EAST",-37.906838,145.057884,3.0,1.0,2,$260,Rental_residential,November 2006,3165,2006,11,EAST,260
1857,"1/16 BESSIE STREET, BENTLEIGH EAST",-37.92569351,145.08106995,3.0,2.0,1,$395,Rental_residential,November 2006,3165,2006,11,EAST,395
2234,"3/10A EDDYS GROVE, BENTLEIGH",-37.9200325,145.02926636,2.0,1.0,1,$270,Unit/apmt,November 2006,3204,2006,11,BENTLEIGH,270
3098,"6/13 PHILLIP STREET, BENTLEIGH",-37.92409,145.034414,2.0,1.0,1,$195,none,December 2006,3204,2006,12,BENTLEIGH,195
3586,"8/207 CENTRE ROAD, BENTLEIGH",-37.9168129,145.02645874,2.0,1.0,1,$235,Rental_residential,November 2006,3204,2006,11,BENTLEIGH,235
4291,"1 HOWITT COURT, BERWICK",-38.02383,145.32452,4.0,2.0,2,$230,House,November 2006,3806,2006,11,BERWICK,230
4507,"10/10 PARKHILL DRIVE, BERWICK",-38.02732468,145.32804871,3.0,2.0,1,$250,Townhouse,November 2006,3806,2006,11,BERWICK,250
4821,"9 SPOONBILL STREET, BERWICK",-38.062788,145.332992,4.0,2.0,2,$290,House,November 2006,3806,2006,11,BERWICK,290
5984,"2/27 MARGARET STREET, BERWICK",-38.03538132,145.34059143,3.0,1.0,1,$175,Unit/apmt,October 2006,3806,2006,10,BERWICK,175
