,Unnamed: 0.1,address,latitude,longitude,nbed,nbath,ncar,price,type,historical_dates,postcode,year,month,suburb,weekly_rent,residence_type
0,0,"175 MAIN ROAD, CHEWTON",-37.080913,144.259581,1.0,1.0,1,$160_pw,House,December 2007,3451,2007,12,CHEWTON,160,House
1,1,"173 MAIN ROAD, CHEWTON",-37.080952,144.259378,2.0,1.0,0,$195_pw,House,October 2007,3451,2007,10,CHEWTON,195,House
2,2,"3/1 OXFORD STREET, CHILTERN",-36.150694,146.606488,2.0,1.0,1,$110_pw,none,November 2007,3683,2007,11,CHILTERN,110,Other
3,3,"5 PARK STREET, CHILTERN",-36.149064,146.608326,3.0,1.0,2,$250_pw,House,November 2007,3683,2007,11,CHILTERN,250,House
4,4,"4 GLENDALE DRIVE, CHIRNSIDE PARK",-37.751383,145.312411,4.0,2.0,2,$290_pw,Rental_residential,October 2007,3116,2007,10,PARK,290,Other
5,5,"4 GLENDALE DRIVE, CHIRNSIDE PARK",-37.751383,145.312411,4.0,2.0,2,$290,Rental_residential,August 2007,3116,2007,8,PARK,290,Other
6,6,"13 HUNTINGDALE DRIVE, CHIRNSIDE PARK",-37.755373,145.323258,3.0,2.0,1,$275_pw,House,August 2007,3116,2007,8,PARK,275,House
7,7,"72 COUNTRY CLUB DRIVE, CHIRNSIDE PARK",-37.752459,145.324645,3.0,2.0,1,$250,House,January 2007,3116,2007,1,PARK,250,House
8,8,"5 ALLY TERRACE, CHIRNSIDE PARK",-37.756717,145.294892,4.0,2.0,2,$425_pw,House,November 2007,3116,2007,11,PARK,425,House
9,9,"5 ALLY TERRACE, CHIRNSIDE PARK",-37.756717,145.294892,4.0,2.0,2,$425_pw,House,October 2007,3116,2007,10,PARK,425,House
10,10,"27 ACACIA WAY, CHURCHILL",-38.301581,146.415178,3.0,1.0,0,$125,House,January 2007,3842,2007,1,CHURCHILL,125,House
11,11,"13 GUNDAROO PLACE, CHURCHILL",-38.320975,146.423926,3.0,1.0,0,$120,House,August 2007,3842,2007,8,CHURCHILL,120,House
12,12,"1 ELDER ST, CLARINDA",-37.927113,145.104236,3.0,1.0,1,$220,House,January 2007,3169,2007,1,CLARINDA,220,House
13,13,"4/34 OAKES AVENUE, CLAYTON SOUTH",-37.935811,145.132469,2.0,1.0,0,$200_pw,none,April 2007,3169,2007,4,SOUTH,200,Other
14,14,"1 GAYLE COURT, CLAYTON SOUTH",-37.957438,145.133572,3.0,1.0,2,$220,Rental_residential,November 2007,3169,2007,11,SOUTH,220,Other
15,15,"19 TADSTAN COURT, CLAYTON SOUTH",-37.957528,145.132955,3.0,1.0,2,$280,House,September 2007,3169,2007,9,SOUTH,280,House
16,16,"19 TADSTAN COURT, CLAYTON SOUTH",-37.957528,145.132955,3.0,1.0,2,$290,House,June 2007,3169,2007,6,SOUTH,290,House
17,17,"19 TADSTAN COURT, CLAYTON SOUTH",-37.957528,145.132955,3.0,1.0,2,$280,House,May 2007,3169,2007,5,SOUTH,280,House
18,18,"1 MELOSA AVENUE, CLAYTON SOUTH",-37.937284,145.114101,3.0,1.0,2,$250,House,July 2007,3169,2007,7,SOUTH,250,House
19,19,"1 MELOSA AVENUE, CLAYTON SOUTH",-37.937284,145.114101,3.0,1.0,2,$250,House,May 2007,3169,2007,5,SOUTH,250,House
20,20,"1/34 WELLINGTON ROAD, CLAYTON",-37.915779,145.133915,1.0,1.0,1,$230,Unit,February 2007,3168,2007,2,CLAYTON,230,Apartment
21,21,"3/14-16 WRIGHT STREET, CLAYTON",-37.921946,145.12376,4.0,2.0,1,$350_p.w.,Townhouse,November 2007,3168,2007,11,CLAYTON,350,House
22,22,"10/2 MONASH GREEN DRIVE, CLAYTON",-37.918788,145.127626,2.0,1.0,1,$340,Unit,August 2007,3168,2007,8,CLAYTON,340,Apartment
23,23,"1/31 GLENBROOK AVENUE, CLAYTON",-37.909275,145.123752,3.0,1.0,2,$280,House,February 2007,3168,2007,2,CLAYTON,280,House
24,24,"10 SHADY MEWS, CLAYTON",-37.922472,145.127818,3.0,1.0,1,$300,Townhouse,January 2007,3168,2007,1,CLAYTON,300,House
25,25,"16 WELLINGTON ROAD, CLAYTON",-37.915481,145.130845,1.0,2.0,0,$411,House,March 2007,3168,2007,3,CLAYTON,411,House
26,26,"35 RENVER ROAD, CLAYTON",-37.919951,145.142791,3.0,1.0,1,$295_per_week,House,February 2007,3168,2007,2,CLAYTON,295,House
27,27,"3/21 FRANCIS STREET, CLAYTON",-37.924041,145.121709,2.0,1.0,1,$250_p.w.,none,November 2007,3168,2007,11,CLAYTON,250,Other
28,28,"4 / 63 CARINISH ROAD, CLAYTON",-37.920334,145.115395,2.0,1.0,1,$250,Unit,January 2007,3168,2007,1,CLAYTON,250,Apartment
29,29,"9 BURTON AVENUE, CLAYTON",-37.926327,145.115883,4.0,3.0,1,$300,Townhouse,December 2007,3168,2007,12,CLAYTON,300,House
30,30,"16 THOMAS STREET, CLAYTON",-37.927189,145.120776,3.0,1.0,4,$280,House,January 2007,3168,2007,1,CLAYTON,280,House
31,31,"10 VICTOR ROAD, CLEMATIS",-37.929733,145.419864,5.0,2.0,0,$350_pw,none,August 2007,3782,2007,8,CLEMATIS,350,Other
32,32,"2/1980 WELLINGTON ROAD, CLEMATIS",-37.933762,145.412077,3.0,2.0,2,$250_p.w.,House,April 2007,3782,2007,4,CLEMATIS,250,House
33,33,"2 ALBERT ROAD, CLEMATIS",-37.929236,145.421288,3.0,1.0,0,$220,House,February 2007,3782,2007,2,CLEMATIS,220,House
34,34,"29 FENWICK STREET, CLIFTON HILL",-37.789226,144.999862,2.0,1.0,0,$380_pw,none,December 2007,3068,2007,12,HILL,380,Other
