,Unnamed: 0,address,latitude,longitude,nbed,nbath,ncar,price,type,historical_dates,postcode,year,month,suburb,weekly_rent,residence_type,SA2_CODE
0,0,"99 MAIN ROAD, CHEWTON",-37.0793433,144.2524547,2.0,1.0,1,$220_pw,House,April 2009,3451,2009,4,CHEWTON,220,House,202021027
1,1,"12 FRYERS ROAD, CHEWTON",-37.082726,144.256496,3.0,1.0,1,$230_pw,House,June 2009,3451,2009,6,CHEWTON,230,House,202021027
2,2,"6 BAKER STREET, CHEWTON",-37.081637,144.26061,2.0,1.0,0,$200_pw,House,April 2009,3451,2009,4,CHEWTON,200,House,202021027
3,3,"197 MAIN ROAD, CHEWTON",-37.0803515,144.2618795,1.0,1.0,0,$195_per_week,House,May 2009,3451,2009,5,CHEWTON,195,House,202021027
7,7,"2/20 NICKLESS STREET, CHILTERN",-36.154038,146.602977,2.0,1.0,2,$180_pw,Rental_residential,June 2009,3683,2009,6,CHILTERN,180,Other,204031070
8,8,"25 CLUBPOINT DRIVE, CHIRNSIDE PARK",-37.7526153,145.3270934,3.0,2.0,1,$365_pw,House,October 2009,3116,2009,10,PARK,365,House,211051275
9,9,"25 CLUBPOINT DRIVE, CHIRNSIDE PARK",-37.7526153,145.3270934,3.0,2.0,1,$365_pw,House,September 2009,3116,2009,9,PARK,365,House,211051275
10,10,"5 ALLY TERRACE, CHIRNSIDE PARK",-37.756717,145.294892,4.0,2.0,2,$450_pw,House,November 2009,3116,2009,11,PARK,450,House,211051275
11,11,"5 ALLY TERRACE, CHIRNSIDE PARK",-37.756717,145.294892,4.0,2.0,2,$450_pw,House,April 2009,3116,2009,4,PARK,450,House,211051275
12,12,"5 ALLY TERRACE, CHIRNSIDE PARK",-37.756717,145.294892,4.0,2.0,2,$450_pw,House,March 2009,3116,2009,3,PARK,450,House,211051275
13,13,"23 WESTERING ROAD, CHRISTMAS HILLS",-37.673706,145.275099,5.0,2.0,7,$1000_p.w.,House,March 2009,3775,2009,3,HILLS,1000,House,209031212
14,14,"9 ARTHURS ROAD, CHUM CREEK",-37.611197,145.49368,2.0,1.0,7,$280_per_week,House,January 2009,3777,2009,1,CREEK,280,House,211051276
15,15,"19 CHUM CREEK ROAD, CHUM CREEK",-37.646878,145.49704,3.0,2.0,2,$320_per_week,House,February 2009,3777,2009,2,CREEK,320,House,211051276
16,16,"28 NUGENT COURT, CLARENDON",-37.713035,143.979763,5.0,3.0,4,$460_pw,Rental_residential,August 2009,3352,2009,8,CLARENDON,460,Other,201021012
17,17,"4 CASEY COURT, CLARINDA",-37.942898,145.109007,3.0,1.0,2,$320,House,December 2009,3169,2009,12,CLARINDA,320,House,212041309
18,18,"20 CRAWFORD ROAD, CLARINDA",-37.929396,145.101594,2.0,1.0,1,$290_Weekly,House,November 2009,3169,2009,11,CLARINDA,290,House,212041309
19,19,"1/31 BEVAN AVENUE, CLAYTON SOUTH",-37.934415,145.128568,3.0,1.0,1,$300_pw,House,December 2009,3169,2009,12,SOUTH,300,House,212041310
20,20,"1/31 BEVAN AVENUE, CLAYTON SOUTH",-37.934415,145.128568,3.0,1.0,1,$250_pw,House,September 2009,3169,2009,9,SOUTH,250,House,212041310
21,21,"30/2 GREENFIELD DRIVE, CLAYTON",-37.923181,145.128623,2.0,1.0,1,$360,Unit,March 2009,3168,2009,3,CLAYTON,360,Apartment,212051568
22,22,"10/2 MONASH GREEN DRIVE, CLAYTON",-37.918788,145.127626,2.0,1.0,1,$360,Unit,June 2009,3168,2009,6,CLAYTON,360,Apartment,212051568
23,23,"3/23 MADELEINE ROAD, CLAYTON",-37.916104,145.119279,3.0,2.0,1,$390,Unit,November 2009,3168,2009,11,CLAYTON,390,Apartment,212051568
24,24,"1953 DANDENONG ROAD, CLAYTON",-37.91327,145.126079,5.0,4.0,3,$350_Weekly,Townhouse,October 2009,3168,2009,10,CLAYTON,350,House,212051567
25,25,"41 MYRIONG STREET, CLAYTON",-37.915515,145.127295,3.0,1.0,1,$320_Weekly,House,August 2009,3168,2009,8,CLAYTON,320,House,212051568
26,26,"23 BRUSHBOX COURT, CLAYTON",-37.92356953,145.12906235,3.0,1.0,1,$430,Townhouse,April 2009,3168,2009,4,CLAYTON,430,House,212051568
27,27,"9 SHADY MEWS, CLAYTON",-37.922424,145.12782,2.0,1.0,2,$380,Rental_residential,December 2009,3168,2009,12,CLAYTON,380,Other,212051568
28,28,"6/1-3 ARNOTT STREET, CLAYTON",-37.916516,145.134721,3.0,1.0,1,$395_pw,none,February 2009,3168,2009,2,CLAYTON,395,Other,212051567
29,29,"3/1450 NORTH ROAD, CLAYTON",-37.914333,145.120368,2.0,1.0,1,$260_pw,Rental_residential,July 2009,3168,2009,7,CLAYTON,260,Other,212051568
30,30,"16 BRUSHBOX COURT, CLAYTON",-37.92314,145.129478,2.0,1.0,2,$365_per_week,Townhouse,October 2009,3168,2009,10,CLAYTON,365,House,212051568
31,31,"35 EDINBURGH STREET, CLAYTON",-37.91557,145.114394,3.0,2.0,1,$320_pw,Townhouse,April 2009,3168,2009,4,CLAYTON,320,House,212051568
32,32,"9/56-58 KANOOKA GROVE, CLAYTON",-37.921688,145.126396,3.0,1.0,1,$425,House,August 2009,3168,2009,8,CLAYTON,425,House,212051568
33,33,"16 THOMAS STREET, CLAYTON",-37.927189,145.120776,3.0,1.0,4,$300,House,August 2009,3168,2009,8,CLAYTON,300,House,212051568
34,34,"1/12 MADELEINE ROAD, CLAYTON",-37.915266,145.120158,3.0,1.0,1,$380_p.w.,Available Now,September 2009,3168,2009,9,CLAYTON,380,Other,212051568
35,35,"3 ALBERT ROAD, CLEMATIS",-37.929421,145.421,2.0,1.0,0,$265_per_week,House,May 2009,3782,2009,5,CLEMATIS,265,House,212011289
36,36,"6 VICTOR ROAD, CLEMATIS",-37.929987,145.420214,2.0,1.0,1,$280,none,June 2009,3782,2009,6,CLEMATIS,280,Other,212011289
37,37,"6 VICTOR ROAD, CLEMATIS",-37.929987,145.420214,2.0,1.0,1,$280,none,February 2009,3782,2009,2,CLEMATIS,280,Other,212011289
38,38,"2042 WELLINGTON ROAD, CLEMATIS",-37.933695,145.419133,3.0,1.0,4,$330_pw,House,May 2009,3782,2009,5,CLEMATIS,330,House,212011289
39,39,"375 WATERHOLES ROAD, CLIFTON CREEK",-37.722384,147.67673,3.0,1.0,0,$200_per_week,none,May 2009,3875,2009,5,CREEK,200,Other,205021082
40,40,"6/21 WALKER STREET, CLIFTON HILL",-37.788514,145.001566,3.0,1.0,1,$460_pw,none,November 2009,3068,2009,11,HILL,460,Other,206071145
41,41,"4/146 NOONE STREET, CLIFTON HILL",-37.793525,144.997446,2.0,2.0,1,$420_pw,Rental_residential,August 2009,3068,2009,8,HILL,420,Other,206071145
42,42,"137 RAMSDEN STREET, CLIFTON HILL",-37.791122,145.000617,4.0,2.0,2,$380_pw,Rental_residential,August 2009,3068,2009,8,HILL,380,Other,206071145
43,43,"18/14 THE ESPLANADE, CLIFTON HILL",-37.788057,145.005844,1.0,1.0,1,$240_pw,Rental_residential,June 2009,3068,2009,6,HILL,240,Other,206071145
44,44,"205 SPENSLEY STREET, CLIFTON HILL",-37.786573,145.004419,2.0,1.0,1,$460_pw,House,April 2009,3068,2009,4,HILL,460,House,206071145
45,45,"2/34 GROOM STREET, CLIFTON HILL",-37.794845,144.997723,2.0,1.0,1,$550_pw,none,April 2009,3068,2009,4,HILL,550,Other,206071145
46,46,"3/109 SPENSLEY STREET, CLIFTON HILL",-37.788022,145.000043,2.0,1.0,1,$310_pw,none,May 2009,3068,2009,5,HILL,310,Other,206071145
47,47,"3/109 SPENSLEY STREET, CLIFTON HILL",-37.788022,145.000043,2.0,1.0,1,$350_per_week,none,April 2009,3068,2009,4,HILL,350,Other,206071145
48,48,"3/28 EDMUND STREET, CLIFTON HILL",-37.787333,145.004462,2.0,2.0,1,$440_pw,Rental_residential,August 2009,3068,2009,8,HILL,440,Other,206071145
49,49,"16/16 THE ESPLANADE, CLIFTON HILL",-37.7879444,145.0061292,1.0,1.0,1,$260_pw,none,September 2009,3068,2009,9,HILL,260,Other,206071145
50,50,"15 COUNCIL STREET, CLIFTON HILL",-37.792726,144.986822,3.0,2.0,2,$620_pw,House,July 2009,3068,2009,7,HILL,620,House,206071145
51,51,"22 GROOM STREET, CLIFTON HILL",-37.793529,144.997952,2.0,2.0,1,$370_pw,Rental_residential,November 2009,3068,2009,11,HILL,370,Other,206071145
52,52,"2/176 NOONE STREET, CLIFTON HILL",-37.793694,144.998662,3.0,2.0,2,$700_pw,Rental_residential,August 2009,3068,2009,8,HILL,700,Other,206071145
53,53,"11/56 JOHN STREET, CLIFTON HILL",-37.789298,144.995897,2.0,2.0,1,$420_per_week,none,September 2009,3068,2009,9,HILL,420,Other,206071145
54,54,"10 ANDERSON STREET, CLIFTON HILL",-37.792946,144.993254,2.0,1.0,1,$400_p.w.,Available Now,November 2009,3068,2009,11,HILL,400,Other,206071145
