,Unnamed: 0,Unnamed: 0.2,Unnamed: 0.1,address,latitude,longitude,nbed,nbath,ncar,price,type,historical_dates,postcode,year,month,suburb,weekly_rent,residence_type,SA2_CODE
0,0,0,0,"12 FRYERS ROAD, CHEWTON",-37.082726,144.256496,3.0,1.0,1,$260_pw,House,July 2011,3451,2011,7,CHEWTON,260,House,202021027
1,1,1,1,"16 STEELE STREET, CHEWTON",-37.0797293,144.248306,3.0,2.0,2,$345_pw,House,May 2011,3451,2011,5,CHEWTON,345,House,202021027
2,2,2,2,"16 STEELE STREET, CHEWTON",-37.0797293,144.248306,3.0,2.0,2,$360_pw,House,April 2011,3451,2011,4,CHEWTON,360,House,202021027
3,3,3,3,"173 MAIN ROAD, CHEWTON",-37.080952,144.259378,2.0,1.0,0,$270_pw,House,August 2011,3451,2011,8,CHEWTON,270,House,202021027
6,6,6,6,"78 MAIN STREET, CHILTERN",-36.147301,146.611603,2.0,1.0,2,$180,House,July 2011,3683,2011,7,CHILTERN,180,House,204031070
7,7,7,7,"2/56 ALBERT ROAD, CHILTERN",-36.14908,146.604709,2.0,1.0,1,$160_pw,House,July 2011,3683,2011,7,CHILTERN,160,House,204031070
8,8,8,8,"5 PARK STREET, CHILTERN",-36.149064,146.608326,3.0,1.0,2,$230,House,November 2011,3683,2011,11,CHILTERN,230,House,204031070
9,9,9,9,"4 GLENDALE DRIVE, CHIRNSIDE PARK",-37.751383,145.312411,4.0,2.0,2,$350_per_week,Rental_residential,June 2011,3116,2011,6,PARK,350,Other,211051275
10,10,10,10,"1/31 COUNTRY CLUB DRIVE, CHIRNSIDE PARK",-37.756332,145.325246,3.0,1.0,1,$320_pw,House,July 2011,3116,2011,7,PARK,320,House,211051275
11,11,11,11,"1/31 COUNTRY CLUB DRIVE, CHIRNSIDE PARK",-37.756332,145.325246,3.0,1.0,1,$320_pw,House,May 2011,3116,2011,5,PARK,320,House,211051275
12,12,12,12,"5 YARRARIDGE DRIVE, CHIRNSIDE PARK",-37.757684,145.305604,3.0,1.0,2,$350_pw,House,December 2011,3116,2011,12,PARK,350,House,211051275
