,address,latitude,longitude,nbed,nbath,ncar,price,type,historical_dates,postcode,year,month,suburb,weekly_rent,SA2_CODE
26,"1/85 MAIN ROAD, CHEWTON",-37.088043,144.204874,1.0,1.0,1,$195_pw,House,October 2014,3451,2014,10,CHEWTON,195,212031300
40,"36 ALBERT STREET, CHEWTON",-37.09302785,144.25946865,3.0,1.0,1,$320_pw,House,August 2014,3451,2014,8,CHEWTON,320,204031075
79,"14 PITMAN STREET, CHEWTON",-37.083013,144.266589,4.0,1.0,1,$345_pw,House,January 2014,3451,2014,1,CHEWTON,345,206031115
103,"52 FRYERS ROAD, CHEWTON",-37.087738,144.257555,3.0,1.0,2,$420_pw,House,February 2014,3451,2014,2,CHEWTON,420,212041317
142,"114 FRYERS ROAD, CHEWTON",-37.094488,144.2554,2.0,1.0,3,$260_pw,House,September 2014,3451,2014,9,CHEWTON,260,217031475
153,"57 ARCHERS ROAD, CHEWTON",-37.094426,144.259118,3.0,1.0,2,$395_per_week,House,May 2014,3451,2014,5,CHEWTON,395,208031191
157,"173 MAIN ROAD, CHEWTON",-37.080952,144.259378,2.0,1.0,0,$270_pw,House,October 2014,3451,2014,10,CHEWTON,270,211051283
165,"732A PYRENEES HIGHWAY, CHEWTON",-37.08367,144.272154,2.0,1.0,1,$205_pw,House,July 2014,3451,2014,7,CHEWTON,205,202021027
218,"1/20 NICKLESS STREET, CHILTERN",-36.154388,146.603242,2.0,1.0,1,$200_Weekly,House,January 2014,3683,2014,1,CHILTERN,200,217011420
237,"2/20 NICKLESS STREET, CHILTERN",-36.154038,146.602977,2.0,1.0,2,$190_pw,Rental_residential,March 2014,3683,2014,3,CHILTERN,190,214011376
325,"65 MAIN STREET, CHILTERN",-36.149418,146.609623,3.0,2.0,2,$290_Weekly,House,January 2014,3683,2014,1,CHILTERN,290,217031473
358,"2/6 SKERRY STREET, CHILTERN",-36.151343,146.598303,2.0,1.0,2,$185_pw,Townhouse,August 2014,3683,2014,8,CHILTERN,185,217031474
359,"2/6 SKERRY STREET, CHILTERN",-36.151343,146.598303,2.0,1.0,2,$185_pw,Townhouse,January 2014,3683,2014,1,CHILTERN,185,201011005
364,"7 SCOTT STREET, CHILTERN",-36.153794,146.592627,2.0,1.0,4,$200_p.w.,none,May 2014,3683,2014,5,CHILTERN,200,209041223
365,"7 SCOTT STREET, CHILTERN",-36.153794,146.592627,2.0,1.0,4,$200_Weekly,none,May 2014,3683,2014,5,CHILTERN,200,209041223
366,"7 SCOTT STREET, CHILTERN",-36.153794,146.592627,2.0,1.0,4,$200,none,May 2014,3683,2014,5,CHILTERN,200,209041223
382,"222 TOOMEYS LANE, CHINTIN",-37.363602,144.839603,3.0,1.0,2,$550,none,May 2014,3756,2014,5,CHINTIN,550,210041540
393,"4 GLENDALE DRIVE, CHIRNSIDE PARK",-37.751383,145.312411,4.0,2.0,2,$370_per_week,Rental_residential,April 2014,3116,2014,4,PARK,370,212031300
394,"4 GLENDALE DRIVE, CHIRNSIDE PARK",-37.751383,145.312411,4.0,2.0,2,$370_pw,Rental_residential,April 2014,3116,2014,4,PARK,370,212031300
442,"27 SWITCHBACK ROAD, CHIRNSIDE PARK",-37.745383,145.332843,3.0,1.0,1,$380,House,December 2014,3116,2014,12,PARK,380,204021067
443,"27 SWITCHBACK ROAD, CHIRNSIDE PARK",-37.745383,145.332843,3.0,1.0,1,$380_per_week,House,September 2014,3116,2014,9,PARK,380,204021067
444,"27 SWITCHBACK ROAD, CHIRNSIDE PARK",-37.745383,145.332843,3.0,1.0,1,$380_pw,House,September 2014,3116,2014,9,PARK,380,211051285
445,"27 SWITCHBACK ROAD, CHIRNSIDE PARK",-37.745383,145.332843,3.0,1.0,1,$380,House,September 2014,3116,2014,9,PARK,380,211051275
446,"27 SWITCHBACK ROAD, CHIRNSIDE PARK",-37.745383,145.332843,3.0,1.0,1,$380_per_week,House,August 2014,3116,2014,8,PARK,380,203031489
456,"1/31 COUNTRY CLUB DRIVE, CHIRNSIDE PARK",-37.756332,145.325246,3.0,1.0,1,$340,House,May 2014,3116,2014,5,PARK,340,207011152
457,"1/31 COUNTRY CLUB DRIVE, CHIRNSIDE PARK",-37.756332,145.325246,3.0,1.0,1,$330_pw,House,May 2014,3116,2014,5,PARK,330,214021385
458,"1/31 COUNTRY CLUB DRIVE, CHIRNSIDE PARK",-37.756332,145.325246,3.0,1.0,1,$340_pw,House,May 2014,3116,2014,5,PARK,340,211051275
483,"15 VICTORIA ROAD, CHIRNSIDE PARK",-37.758729,145.334339,2.0,1.0,5,$300,House,May 2014,3116,2014,5,PARK,300,209041223
484,"15 VICTORIA ROAD, CHIRNSIDE PARK",-37.758729,145.334339,2.0,1.0,5,$300_per_week,House,May 2014,3116,2014,5,PARK,300,211051275
501,"5 YARRARIDGE DRIVE, CHIRNSIDE PARK",-37.757684,145.305604,3.0,1.0,2,$350_pw,House,April 2014,3116,2014,4,PARK,350,214011376
502,"5 YARRARIDGE DRIVE, CHIRNSIDE PARK",-37.757684,145.305604,3.0,1.0,2,$350,House,April 2014,3116,2014,4,PARK,350,214011374
527,"66 ROSEMAN ROAD, CHIRNSIDE PARK",-37.746928,145.33598,3.0,1.0,1,$300,House,March 2014,3116,2014,3,PARK,300,211051286
528,"66 ROSEMAN ROAD, CHIRNSIDE PARK",-37.746928,145.33598,3.0,1.0,1,$320,House,March 2014,3116,2014,3,PARK,320,214011370
574,"26 JOANNE AVENUE, CHIRNSIDE PARK",-37.755106,145.306849,3.0,2.0,3,$420_per_week,House,December 2014,3116,2014,12,PARK,420,212041565
575,"26 JOANNE AVENUE, CHIRNSIDE PARK",-37.755106,145.306849,3.0,2.0,3,$420_pw,House,November 2014,3116,2014,11,PARK,420,211051275
576,"26 JOANNE AVENUE, CHIRNSIDE PARK",-37.755106,145.306849,3.0,2.0,3,$420_per_week,House,January 2014,3116,2014,1,PARK,420,207021156
698,"66 MCKINNON TERRACE, CHRISTMAS HILLS",-37.652024,145.338288,1.0,1.0,1,$285_per_week,House,June 2014,3775,2014,6,HILLS,285,211051281
