,address,latitude,longitude,nbed,nbath,ncar,price,historical_dates,postcode,year,month,suburb,weekly_rent,SA2_CODE,residence_type
174977,"108 ADELAIDE STREET, CHEWTON",-37.093186,144.254132,2.0,1.0,2,$340_per_week,November 2021,3451,2021,11,CHEWTON,340,202021027,House
174985,"3/1 OXFORD STREET, CHILTERN",-36.150694,146.606488,2.0,1.0,1,$320_pw,August 2021,3683,2021,8,CHILTERN,320,204031070,House
175019,"165 ASHMORE ROAD, CHRISTMAS HILLS",-37.683665002,145.3110642002,3.0,3.0,4,$800,August 2021,3775,2021,8,HILLS,800,209031212,House
175031,"18 GRADUATION PLACE, CHURCHILL",-38.3202939002,146.4240819002,3.0,2.0,1,$350_Wk,September 2021,3842,2021,9,CHURCHILL,350,205041094,House
175032,"18 GRADUATION PLACE, CHURCHILL",-38.3202939002,146.4240819002,3.0,2.0,1,$350_Wk,May 2021,3842,2021,5,CHURCHILL,350,205041094,House
175033,"36 CHURINGA DRIVE, CHURCHILL",-38.321525,146.425079,3.0,1.0,1,$250_pw,May 2021,3842,2021,5,CHURCHILL,250,205041094,House
175035,"18 CHURINGA DR, CHURCHILL",-38.32249001,146.42383001,3.0,1.0,2,$230_per_week,July 2021,3842,2021,7,CHURCHILL,230,205041094,House
175040,"48 MCDONALD WAY, CHURCHILL",-38.312359,146.412762,3.0,1.0,1,$320_per_week,October 2021,3842,2021,10,CHURCHILL,320,205041094,House
175043,"27 CHURINGA DRIVE, CHURCHILL",-38.3210366,146.4247311,3.0,1.0,1,$340_per_week,May 2021,3842,2021,5,CHURCHILL,340,205041094,House
175044,"28 NUGENT COURT, CLARENDON",-37.713035,143.979763,5.0,3.0,4,$550_per_week,September 2021,3352,2021,9,CLARENDON,550,201021012,House
175055,"22 WANDOO AVENUE, CLARINDA",-37.929738,145.107718,4.0,2.0,2,$450,May 2021,3169,2021,5,CLARINDA,450,212041309,House
175056,"1 DAVANZO AVENUE, CLARINDA",-37.944349,145.102336,4.0,2.0,2,$550,November 2021,3169,2021,11,CLARINDA,550,212041309,House
175072,"24 MELALEUCA DRIVE, CLARINDA",-37.928898,145.106522,3.0,2.0,2,$515_p.w.,April 2021,3169,2021,4,CLARINDA,515,212041309,House
175074,"1556 LANCEFIELD ROAD &QUOTGROOMS COTTAGE&QUOT, CLARKEFIELD",-37.46044001,144.74228001,2.0,1.0,0,$300,February 2021,3430,2021,2,CLARKEFIELD,300,210021235,Apartment
175075,"3 BRUSHBOX COURT, CLAYTON NORTH",-37.9224729002,145.1294726002,2.0,1.0,2,$470_p.w.,June 2021,3168,2021,6,NORTH,470,212051568,Apartment
175080,"1/31 SPRINGS ROAD, CLAYTON SOUTH",-37.930285,145.109556,2.0,1.0,1,$360_per_week,May 2021,3169,2021,5,SOUTH,360,212041310,House
175089,"B218/60 AUTUMN TERRACE, CLAYTON SOUTH",-37.9393196,145.1384859,2.0,2.0,1,$400,May 2021,3169,2021,5,SOUTH,400,212041310,House
175090,"B218/60 AUTUMN TERRACE, CLAYTON SOUTH",-37.9393196,145.1384859,2.0,2.0,1,$400,April 2021,3169,2021,4,SOUTH,400,212041310,House
175091,"B220/60 AUTUMN TCE, CLAYTON SOUTH",-37.9390081002,145.1384481002,1.0,1.0,1,$301_per_week,January 2021,3169,2021,1,SOUTH,301,212041310,Apartment
175092,"B220/60 AUTUMN TERRACE, CLAYTON SOUTH",-37.9390081002,145.1384481002,1.0,1.0,1,$301_per_week,January 2021,3169,2021,1,SOUTH,301,212041310,Apartment
175107,"2A CHARLOTTE STREET, CLAYTON SOUTH",-37.93517,145.119969,3.0,2.0,2,$605_p.w.,May 2021,3169,2021,5,SOUTH,605,212041310,House
175110,"A202/59 AUTUMN TERRACE, CLAYTON SOUTH",-37.9391661,145.1385972,1.0,1.0,1,$360_per_week,January 2021,3169,2021,1,SOUTH,360,212041310,Apartment
175111,"5/5 BURNS AVENUE, CLAYTON SOUTH",-37.9368135,145.1345036,2.0,1.0,1,$350,June 2021,3169,2021,6,SOUTH,350,212041310,House
175269,"1/67 MADELEINE ROAD, CLAYTON",-37.919718,145.118887,2.0,1.0,1,$400_per_week,January 2021,3168,2021,1,CLAYTON,400,212051568,Apartment
175285,"214/9 RENVER ROAD, CLAYTON",-37.9183971002,145.1432688002,1.0,1.0,1,$380_per_week,February 2021,3168,2021,2,CLAYTON,380,212051567,Apartment
175286,"ROOM 4/24 MORTON ST, CLAYTON",-37.9174062002,145.1398196002,7.0,2.0,2,$170,April 2021,3168,2021,4,CLAYTON,170,212051567,House
175292,"1/56 PANORAMA STREET, CLAYTON",-37.921779,145.129744,1.0,1.0,1,$200_per_week,December 2021,3168,2021,12,CLAYTON,200,212051568,Apartment
175293,"1/56 PANORAMA STREET, CLAYTON",-37.921779,145.129744,1.0,1.0,1,$200_per_week,July 2021,3168,2021,7,CLAYTON,200,212051568,Apartment
175294,"1/56 PANORAMA STREET, CLAYTON",-37.921779,145.129744,1.0,1.0,1,$200_per_week,March 2021,3168,2021,3,CLAYTON,200,212051568,Apartment
175295,"9/34 WELLINGTON ROAD, CLAYTON",-37.915995,145.133951,1.0,1.0,1,$230,August 2021,3168,2021,8,CLAYTON,230,212051567,Apartment
175296,"9/34 WELLINGTON ROAD, CLAYTON",-37.915995,145.133951,1.0,1.0,1,$260,February 2021,3168,2021,2,CLAYTON,260,212051567,Apartment
175304,"6/1-3 ARNOTT STREET, CLAYTON",-37.916516,145.134721,3.0,1.0,1,$500,May 2021,3168,2021,5,CLAYTON,500,212051567,House
175306,"6/55 KOONAWARRA STREET, CLAYTON",-37.9111821,145.1243493,1.0,1.0,0,$310,April 2021,3168,2021,4,CLAYTON,310,212051567,Apartment
175307,"6/55 KOONAWARRA STREET, CLAYTON",-37.9111821,145.1243493,1.0,1.0,0,$310,February 2021,3168,2021,2,CLAYTON,310,212051567,Apartment
175308,"10/10 ARNOTT STREET, CLAYTON",-37.9169379,145.1348441,2.0,1.0,1,$350_per_week,July 2021,3168,2021,7,CLAYTON,350,212051567,Apartment
175313,"2 MORTON STREET, CLAYTON",-37.917033,145.135527,5.0,2.0,2,$165,December 2021,3168,2021,12,CLAYTON,165,212051567,House
175314,"2 MORTON STREET, CLAYTON",-37.917033,145.135527,5.0,2.0,2,$165,September 2021,3168,2021,9,CLAYTON,165,212051567,House
175315,"2 MORTON STREET, CLAYTON",-37.917033,145.135527,5.0,2.0,2,$165,July 2021,3168,2021,7,CLAYTON,165,212051567,House
175316,"3709/2 CONNAM AVENUE, CLAYTON",-37.92007001,145.14144001,2.0,2.0,1,$460_per_week,July 2021,3168,2021,7,CLAYTON,460,212051567,House
175332,"1815/868 BLACKBURN ROAD, CLAYTON",-37.9196001,145.13991001,1.0,1.0,1,$385_per_week,January 2021,3168,2021,1,CLAYTON,385,212051567,Apartment
175338,"1205/868 BLACKBURN ROAD, CLAYTON",-37.92031001,145.13969001,2.0,2.0,1,$465_p.w.,February 2021,3168,2021,2,CLAYTON,465,212051567,House
175340,"18 COLIN ROAD, CLAYTON",-37.914961,145.112843,4.0,2.0,1,$450_per_week,December 2021,3168,2021,12,CLAYTON,450,212051568,House
175341,"18 COLIN ROAD, CLAYTON",-37.914961,145.112843,4.0,2.0,1,$500_p.w.,July 2021,3168,2021,7,CLAYTON,500,212051568,House
175343,"1711/868 BLACKBURN ROAD, CLAYTON",-37.92031001,145.13969001,2.0,2.0,1,$450_pw,July 2021,3168,2021,7,CLAYTON,450,212051567,House
175415,"1/12 MADELEINE ROAD, CLAYTON",-37.915266,145.120158,3.0,1.0,1,$450_per_week,May 2021,3168,2021,5,CLAYTON,450,212051568,House
175419,"1972 WELLINGTON ROAD, CLEMATIS",-37.934455,145.411135,3.0,1.0,0,$470,January 2021,3782,2021,1,CLEMATIS,470,212011289,House
175420,"2/262 ALEXANDRA PARADE EAST, CLIFTON HILL",-37.7949421,144.9976199,1.0,1.0,1,$330,June 2021,3068,2021,6,HILL,330,206071145,Apartment
175422,"1/434 WELLINGTON STREET, CLIFTON HILL",-37.793054,144.988618,2.0,2.0,0,$560,July 2021,3068,2021,7,HILL,560,206071145,House
175423,"70 NOONE STREET, CLIFTON HILL",-37.793407,144.992413,2.0,1.0,0,$560,March 2021,3068,2021,3,HILL,560,206071145,Apartment
175424,"6/32 THE ESPLANADE, CLIFTON HILL",-37.787185,145.005992,2.0,1.0,1,$370,July 2021,3068,2021,7,HILL,370,206071145,House
175426,"8/32 DWYER STREET, CLIFTON HILL",-37.787239,145.002994,1.0,1.0,1,$320_-_$1390_pw,January 2021,3068,2021,1,HILL,1390,206071145,Apartment
175431,"53 DWYER STREET, CLIFTON HILL",-37.785982,145.001994,2.0,1.0,0,$650_pw,January 2021,3068,2021,1,HILL,650,206071145,Apartment
175432,"67 WALKER STREET, CLIFTON HILL",-37.7888473002,145.0058049002,2.0,1.0,0,$570,January 2021,3068,2021,1,HILL,570,206071145,Apartment
175438,"4/1 BARRIES PLACE, CLIFTON HILL",-37.7945179,144.9987711,1.0,1.0,1,$380_-_$1651_pw,April 2021,3068,2021,4,HILL,1651,206071145,Apartment
175439,"4/15 ANDERSON STREET, CLIFTON HILL",-37.792677,144.99261,2.0,1.0,1,$390_-_$1695_pw,April 2021,3068,2021,4,HILL,1695,206071145,Apartment
175440,"16/16 THE ESPLANADE, CLIFTON HILL",-37.7879444,145.0061292,1.0,1.0,1,$280_per_week,June 2021,3068,2021,6,HILL,280,206071145,Apartment
175441,"16/16 THE ESPLANADE, CLIFTON HILL",-37.7879444,145.0061292,1.0,1.0,1,$280_per_week,May 2021,3068,2021,5,HILL,280,206071145,Apartment
175442,"16/16 THE ESPLANADE, CLIFTON HILL",-37.7879444,145.0061292,1.0,1.0,1,$270,May 2021,3068,2021,5,HILL,270,206071145,Apartment
175445,"6 BARRIES PLACE, CLIFTON HILL",-37.7949562,144.9986966,3.0,3.0,1,$700,January 2021,3068,2021,1,HILL,700,206071145,House
175446,"21/211 GOLD STREET, CLIFTON HILL",-37.791339,144.989853,2.0,1.0,1,$440,July 2021,3068,2021,7,HILL,440,206071145,House
175447,"8 RUTLAND STREET, CLIFTON HILL",-37.794571,144.99622,2.0,1.0,0,$495_per_week,September 2021,3068,2021,9,HILL,495,206071145,Apartment
175448,"6/4 CLIFTON STREET, CLIFTON HILL",-37.787595,145.005288,1.0,1.0,1,$250,July 2021,3068,2021,7,HILL,250,206071145,Apartment
175449,"78 RAMSDEN STREET, CLIFTON HILL",-37.79056,144.999593,3.0,1.0,2,$820_pw,February 2021,3068,2021,2,HILL,820,206071145,House
175450,"4/41 FENWICK STREET, CLIFTON HILL",-37.788821,144.999765,2.0,1.0,1,$360_per_week,December 2021,3068,2021,12,HILL,360,206071145,Apartment
175451,"3/31-33 HEIDELBERG ROAD, CLIFTON HILL",-37.786681,144.997501,2.0,1.0,1,$430,June 2021,3068,2021,6,HILL,430,206071145,House
175452,"13/211 GOLD STREET, CLIFTON HILL",-37.791306,144.990222,2.0,1.0,1,$420_pw,January 2021,3068,2021,1,HILL,420,206071145,Apartment
175453,"23 AITKEN STREET, CLIFTON HILL",-37.791383,145.000129,2.0,1.0,0,$465_pw,March 2021,3068,2021,3,HILL,465,206071145,Apartment
175454,"23 AITKEN STREET, CLIFTON HILL",-37.791383,145.000129,2.0,1.0,0,$465,February 2021,3068,2021,2,HILL,465,206071145,Apartment
175455,"5/5 BERRY STREET, CLIFTON HILL",-37.7876865002,144.9971919002,1.0,1.0,1,$295_-_$1282_pw,May 2021,3068,2021,5,HILL,1282,206071145,Apartment
175456,"5/5 BERRY STREET, CLIFTON HILL",-37.7876865002,144.9971919002,1.0,1.0,1,$275_-_$1195_pw,May 2021,3068,2021,5,HILL,1195,206071145,Apartment
175458,"1/211 GOLD STREET, CLIFTON HILL",-37.791306,144.990222,2.0,1.0,1,$440_per_week,January 2021,3068,2021,1,HILL,440,206071145,Apartment
175459,"363 WELLINGTON STREET, CLIFTON HILL",-37.793646,144.987995,3.0,2.0,1,$600,February 2021,3068,2021,2,HILL,600,206071145,House
175466,"56 BEACON POINT ROAD, CLIFTON SPRINGS",-38.1480888,144.5754182,2.0,1.0,2,$350_per_week,May 2021,3222,2021,5,SPRINGS,350,203031048,House
175481,"14 GRANT STREET, CLUNES",-37.295683,143.778994,3.0,1.0,2,$350,June 2021,3370,2021,6,CLUNES,350,201021010,House
175482,"40 ALFRED STREET, CLUNES",-37.2800785,143.77693035,3.0,2.0,2,$320_per_week,May 2021,3370,2021,5,CLUNES,320,201021010,House
175483,"27 CANTERBURY STREET, CLUNES",-37.2938415002,143.7939546002,3.0,1.0,1,$285_per_week,May 2021,3370,2021,5,CLUNES,285,201021010,House
175513,"43 ADRIATIC CIRCUIT, CLYDE",-38.1245001,145.35414001,3.0,2.0,1,$385,July 2021,3978,2021,7,CLYDE,385,212031303,House
175535,"578 MCDONALDS TRK, COALVILLE",-38.2458191002,146.2793882002,3.0,2.0,4,$595_per_week,July 2021,3824,2021,7,COALVILLE,595,205011078,House
175536,"35 COBAINS ESTATE ROAD, COBAINS",-38.0908475002,147.1458141002,4.0,1.0,8,$400,August 2021,3851,2021,8,COBAINS,400,205051100,House
175540,"8 STIRLING STREET, COBDEN",-38.322077,143.080563,2.0,1.0,2,$310_per_week,November 2021,3266,2021,11,COBDEN,310,217031475,Apartment
175541,"8 STIRLING STREET, COBDEN",-38.322077,143.080563,2.0,1.0,2,$310_Weekly,March 2021,3266,2021,3,COBDEN,310,217031475,House
175555,"23 GATTUSO DRIVE, COBRAM",-35.925188,145.669623,4.0,2.0,2,$440_pw,April 2021,3644,2021,4,COBRAM,440,216021411,House
175556,"23 GATTUSO DRIVE, COBRAM",-35.925188,145.669623,4.0,2.0,2,$440,March 2021,3644,2021,3,COBRAM,440,216021411,House
175564,"109 SPECTRUM WAY, COBURG NORTH",-37.7290495,144.9790651,3.0,2.0,2,$530,July 2021,3058,2021,7,NORTH,530,210031236,House
175573,"3/13 MARAMA STREET, COBURG NORTH",-37.719332,144.958411,2.0,1.0,1,$280_per_week,April 2021,3058,2021,4,NORTH,280,210031236,House
175574,"3/13 MARAMA STREET, COBURG NORTH",-37.719332,144.958411,2.0,1.0,1,$310_per_week,March 2021,3058,2021,3,NORTH,310,210031236,House
175577,"3/41 ARTHUR STREET, COBURG NORTH",-37.723567,144.980436,2.0,1.0,1,$340_pw,February 2021,3058,2021,2,NORTH,340,210031236,Apartment
175578,"3/41 ARTHUR STREET, COBURG NORTH",-37.723567,144.980436,2.0,1.0,1,$340_pw,January 2021,3058,2021,1,NORTH,340,210031236,Apartment
175579,"UNIT 4/99 BOUNDARY ROAD, COBURG NORTH",-37.71836,144.953001,2.0,1.0,1,$400,March 2021,3058,2021,3,NORTH,400,210031236,Apartment
175585,"2/64 VICTORIA STREET, COBURG",-37.742205,144.958461,2.0,1.0,1,$320_per_week,August 2021,3058,2021,8,COBURG,320,206011498,House
175586,"2/64 VICTORIA STREET, COBURG",-37.742205,144.958461,2.0,1.0,1,$295_per_week,July 2021,3058,2021,7,COBURG,295,206011498,House
175587,"2/64 VICTORIA STREET, COBURG",-37.742205,144.958461,2.0,1.0,1,$320_per_week,July 2021,3058,2021,7,COBURG,320,206011498,House
175588,"2/64 VICTORIA STREET, COBURG",-37.742205,144.958461,2.0,1.0,1,$320_per_week,June 2021,3058,2021,6,COBURG,320,206011498,House
175589,"18/23 BAXTER STREET, COBURG",-37.746319,144.963475,2.0,1.0,1,$395,June 2021,3058,2021,6,COBURG,395,206011497,House
175590,"18/23 BAXTER STREET, COBURG",-37.746319,144.963475,2.0,1.0,1,$380,June 2021,3058,2021,6,COBURG,380,206011497,House
175592,"1 STRATHEARN AVENUE, COBURG",-37.754017,144.956352,4.0,1.0,1,$580,March 2021,3058,2021,3,COBURG,580,206011498,House
175595,"8/144 NICHOLSON STREET, COBURG",-37.745665,144.978198,2.0,1.0,1,$350_pw,May 2021,3058,2021,5,COBURG,350,206011497,House
175596,"8/144 NICHOLSON STREET, COBURG",-37.745665,144.978198,2.0,1.0,1,$350_pw,April 2021,3058,2021,4,COBURG,350,206011497,House
175597,"52A CAMPBELL STREET, COBURG",-37.75382001,144.96884001,4.0,3.0,1,$795,August 2021,3058,2021,8,COBURG,795,206011497,House
175599,"2/7-9 BELL STREET, COBURG",-37.742764,144.977229,2.0,2.0,1,$400_per_week,September 2021,3058,2021,9,COBURG,400,206011497,House
175600,"4/79 BELL STREET, COBURG",-37.741964,144.970699,3.0,1.0,1,$380_per_week,August 2021,3058,2021,8,COBURG,380,206011497,House
