,S/T name,SA2 code,SA2 name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Area,Population density 2021
651,Victoria,201011001,Alfredton,5756,6092,6293,6480,6648,6761,7034,7272,7614,7894,8452,9060,9714,10338,11039,11852,12639,13520,14408,15472,16823,52.7,319.2
652,Victoria,201011002,Ballarat,11497,11708,12015,12189,12269,12356,12408,12480,12476,12462,12365,12357,12352,12327,12300,12301,12261,12237,12311,12183,12076,12.4,975.5
653,Victoria,201011005,Buninyong,5320,5399,5557,5620,5857,6037,6131,6252,6431,6595,6725,6854,6984,7082,7191,7311,7407,7413,7452,7369,7232,51.6,140.2
654,Victoria,201011006,Delacombe,4154,4225,4371,4465,4704,5041,5206,5349,5557,5699,5838,6020,6267,6583,6846,7195,7617,8174,8876,9736,10640,34.2,311.5
655,Victoria,201011007,Smythes Creek,3317,3378,3411,3473,3508,3542,3594,3658,3714,3774,3819,3872,3914,3945,3966,3990,4002,4040,4109,4148,4213,104.7,40.2
656,Victoria,201011008,Wendouree - Miners Rest,13355,13255,13161,13095,13028,12963,13033,13334,13718,14104,14473,14625,14707,14746,14779,14826,14933,15056,15160,15242,15314,67.6,226.6
657,Victoria,201011481,Ballarat East - Warrenheip,8018,8066,8080,8061,8057,8049,8197,8326,8450,8664,8814,8901,9008,9074,9186,9321,9462,9530,9623,9639,9656,19.2,502.5
658,Victoria,201011482,Ballarat North - Invermay,12250,12520,12758,12939,13077,13230,13295,13410,13487,13551,13610,13711,13849,13926,14025,14218,14374,14501,14612,14660,14692,73.1,200.9
659,Victoria,201011483,Canadian - Mount Clear,9129,9141,9179,9177,9296,9359,9615,9875,10043,10355,10598,10718,10867,11109,11246,11505,11759,11994,12128,12179,12207,22.3,548.1
660,Victoria,201011484,Sebastopol - Redan,11295,11248,11228,11137,11127,11175,11296,11595,11897,12311,12595,12724,12829,12940,13050,13149,13224,13271,13278,13216,13062,10.6,1234.4
661,Victoria,201021009,Bacchus Marsh Surrounds,4900,4929,4948,4993,5048,5070,5138,5242,5387,5536,5672,5754,5819,5852,5903,5982,6093,6217,6344,6457,6533,1038.8,6.3
662,Victoria,201021010,Creswick - Clunes,7467,7423,7402,7395,7332,7316,7351,7388,7421,7473,7503,7573,7639,7702,7781,7870,7910,7954,7981,8016,8036,856.8,9.4
663,Victoria,201021011,Daylesford,8201,8161,8119,8160,8037,8046,8059,8227,8434,8536,8589,8701,8829,8934,9018,9117,9238,9380,9536,9713,9870,920.8,10.7
664,Victoria,201021012,Gordon (Vic.),5350,5315,5320,5322,5351,5371,5381,5404,5463,5485,5488,5529,5582,5631,5692,5761,5866,5990,6114,6236,6337,850.3,7.5
665,Victoria,201031013,Avoca,3151,3163,3182,3202,3247,3294,3296,3293,3333,3343,3347,3342,3337,3322,3317,3323,3349,3389,3417,3440,3498,1714.2,2
666,Victoria,201031014,Beaufort,3809,3801,3800,3809,3821,3838,3843,3852,3869,3882,3886,3955,4047,4172,4317,4454,4483,4444,4536,4598,4618,1863,2.5
667,Victoria,201031015,Golden Plains - North,3875,3908,3912,3915,3948,3956,3973,3988,4032,4068,4102,4195,4284,4363,4444,4540,4609,4688,4778,4824,4868,922.1,5.3
668,Victoria,201031016,Maryborough (Vic.),7742,7738,7714,7653,7597,7574,7599,7619,7673,7692,7674,7750,7809,7865,7915,8001,8057,8132,8146,8115,8116,45.5,178.2
669,Victoria,201031017,Maryborough Surrounds,5375,5335,5279,5177,5118,5073,5081,5102,5153,5153,5106,5135,5180,5197,5222,5278,5342,5392,5394,5373,5475,1627.6,3.4
670,Victoria,202011018,Bendigo,15549,15579,15477,15221,15016,14903,14855,14784,14763,14752,14811,14806,14785,14764,14753,14770,14836,14927,15055,15063,14951,16.1,929.8
671,Victoria,202011019,California Gully - Eaglehawk,9453,9487,9472,9485,9531,9683,9788,9888,10013,10159,10262,10556,11008,11352,11705,12130,12295,12454,12613,12775,12923,32.9,392.4
672,Victoria,202011020,East Bendigo - Kennington,12682,12962,13285,13413,13430,13476,13542,13641,13720,13817,13902,13905,13892,13858,13805,13750,13801,13825,13881,13785,13925,17.1,812
673,Victoria,202011021,Flora Hill - Spring Gully,8823,8925,9029,9103,9132,9173,9184,9212,9268,9310,9294,9340,9396,9445,9460,9493,9501,9518,9538,9562,9420,13.2,713.5
674,Victoria,202011022,Kangaroo Flat - Golden Square,16792,16895,17132,17232,17225,17378,17606,17882,18207,18522,18818,19138,19377,19563,19742,19947,20180,20422,20690,20900,21060,40.9,514.7
675,Victoria,202011023,Maiden Gully,2708,2843,3016,3151,3295,3453,3642,3752,3890,4087,4354,4541,4724,4859,4983,5155,5248,5317,5358,5455,5500,43,128
676,Victoria,202011024,Strathfieldsaye,4134,4331,4668,5054,5310,5597,5927,6246,6568,6823,7095,7400,7678,8012,8355,8775,9120,9475,9889,10296,10676,56.4,189.2
677,Victoria,202011025,White Hills - Ascot,6171,6214,6293,6432,6727,7141,7619,7908,8171,8508,8804,9312,9912,10604,11232,11914,12471,12983,13561,14014,14444,67.8,213.1
678,Victoria,202021026,Bendigo Surrounds - South,4976,5097,5227,5421,5557,5695,5827,5954,6113,6169,6265,6412,6574,6772,7020,7346,7576,7789,7915,8143,8306,796.9,10.4
679,Victoria,202021027,Castlemaine,9358,9433,9570,9592,9603,9626,9691,9746,9794,9860,9920,10006,10134,10308,10545,10770,10882,11004,11131,11257,11285,83.9,134.5
680,Victoria,202021028,Castlemaine Surrounds,7724,7736,7804,7830,7871,7909,7982,8122,8180,8253,8281,8344,8408,8484,8539,8621,8695,8774,8848,8960,9145,1515,6
681,Victoria,202021029,Heathcote,3895,3901,3918,3967,3966,3962,3974,4004,4043,4083,4110,4207,4290,4368,4452,4529,4605,4690,4783,4893,5023,756.8,6.6
682,Victoria,202021030,Kyneton,7941,7987,8013,8099,8194,8243,8367,8495,8668,8785,8895,9136,9327,9503,9656,9782,9918,10060,10206,10353,10494,556.5,18.9
683,Victoria,202021031,Woodend,5915,5972,5974,6001,6058,6120,6178,6248,6385,6437,6579,6618,6707,6827,6908,7043,7218,7399,7584,7699,7908,211.9,37.3
684,Victoria,202031032,Bendigo Surrounds - North,3900,3930,3964,4014,4060,4073,4073,4089,4134,4168,4192,4226,4258,4299,4351,4413,4507,4610,4705,4790,4906,1440.2,3.4
685,Victoria,202031033,Loddon,8033,7954,7851,7703,7606,7513,7464,7397,7324,7234,7111,7103,7093,7083,7085,7098,7106,7130,7156,7178,7230,6193.3,1.2
686,Victoria,203011034,Bannockburn,2569,2723,2970,3182,3440,3587,3825,4078,4313,4527,4754,5121,5584,5910,6192,6549,6877,7122,7352,7594,7733,192.1,40.3
687,Victoria,203011035,Golden Plains - South,5111,5110,5184,5361,5494,5581,5630,5732,5882,6072,6283,6416,6580,6681,6786,6937,7112,7317,7539,7756,8065,1484.5,5.4
688,Victoria,203011036,Winchelsea,5418,5436,5441,5491,5487,5508,5545,5615,5724,5756,5788,5794,5801,5803,5805,5824,5886,5989,6144,6347,6582,903.3,7.3
