,address,latitude,longitude,nbed,nbath,ncar,historical_prices,type,historical_dates,postcode
0,"30 MAIN ST, WALWA",-35.96451001,147.7347001,3,2,2,$250 per week,Rental_residential,August 2021,3709
0,"30 MAIN ST, WALWA",-35.96451001,147.7347001,3,2,2,$250 per week,Rental_residential,August 2021,3709
0,"8547 MURRAY RIVER RD, WALWA",-35.9384133,147.6938282,4,1,none,Expressions of Interest,House,June 2018,3709
0,"48 OLD TIP LANE, WALWA",-35.9524370,147.7129530,none,none,none,"$495,000",none,February 2014,3709
0,"48 OLD TIP LANE, WALWA",-35.9524370,147.7129530,none,none,none,"$495,000",none,February 2014,3709
0,"21 VICTORY PARADE, WANALTA",-36.35035001,146.29713001,3,1,1,$350 per week,none,October 2019,3612
0,"21 VICTORY PARADE, WANALTA",-36.35035001,146.29713001,3,1,1,$350 per week,none,October 2019,3612
0,"50 WANDANA DRIVE, WANDANA HEIGHTS",-38.1757420,144.3051470,3,1,1,$450 per week,Rental_residential,August 2022,3216
0,"50 WANDANA DRIVE, WANDANA HEIGHTS",-38.1757420,144.3051470,3,1,1,$450 per week,Rental_residential,August 2022,3216
0,"50 WANDANA DRIVE, WANDANA HEIGHTS",-38.1757420,144.3051470,3,1,1,$450,Rental_residential,August 2022,3216
0,"50 WANDANA DRIVE, WANDANA HEIGHTS",-38.1757420,144.3051470,3,1,1,$400 per week,Rental_residential,January 2021,3216
0,"50 WANDANA DRIVE, WANDANA HEIGHTS",-38.1757420,144.3051470,3,1,1,$400 per week,Rental_residential,January 2020,3216
0,"50 WANDANA DRIVE, WANDANA HEIGHTS",-38.1757420,144.3051470,3,1,1,$350 p.w.,Rental_residential,October 2009,3216
0,"50 WANDANA DRIVE, WANDANA HEIGHTS",-38.1757420,144.3051470,3,1,1,$340 p.w.,Rental_residential,October 2009,3216
0,"50 WANDANA DRIVE, WANDANA HEIGHTS",-38.1757420,144.3051470,3,1,1,$350 pw,Rental_residential,August 2009,3216
0,"11 DIONE MEWS, WANDANA HEIGHTS",-38.177633,144.304944,3,2,1,$500 per week,none,August 2022,3216
0,"11 DIONE MEWS, WANDANA HEIGHTS",-38.177633,144.304944,3,2,1,$500 per week,none,August 2022,3216
0,"66 WANDANA DRIVE, WANDANA HEIGHTS",-38.177104,144.305372,4,2,2,$680 per week,House,July 2022,3216
0,"66 WANDANA DRIVE, WANDANA HEIGHTS",-38.177104,144.305372,4,2,2,$680 per week,House,July 2022,3216
0,"66 WANDANA DRIVE, WANDANA HEIGHTS",-38.177104,144.305372,4,2,2,$510 per week,House,June 2020,3216
0,"66 WANDANA DRIVE, WANDANA HEIGHTS",-38.177104,144.305372,4,2,2,$490 per week,House,April 2016,3216
0,"66 WANDANA DRIVE, WANDANA HEIGHTS",-38.177104,144.305372,4,2,2,$510 per week,House,February 2016,3216
0,"66 WANDANA DRIVE, WANDANA HEIGHTS",-38.177104,144.305372,4,2,2,$490 per week,House,February 2016,3216
0,"66 WANDANA DRIVE, WANDANA HEIGHTS",-38.177104,144.305372,4,2,2,$490 per week,House,February 2015,3216
0,"66 WANDANA DRIVE, WANDANA HEIGHTS",-38.177104,144.305372,4,2,2,$510 per week,House,January 2014,3216
0,"66 WANDANA DRIVE, WANDANA HEIGHTS",-38.177104,144.305372,4,2,2,$485 per week,House,March 2012,3216
0,"66 WANDANA DRIVE, WANDANA HEIGHTS",-38.177104,144.305372,4,2,2,$450 pw,House,December 2008,3216
0,"27 STANFIELD DRIVE, WANDANA HEIGHTS",-38.180003,144.301682,4,2,3,$600 per week,none,July 2022,3216
0,"27 STANFIELD DRIVE, WANDANA HEIGHTS",-38.180003,144.301682,4,2,3,$600 per week,none,July 2022,3216
0,"27 STANFIELD DRIVE, WANDANA HEIGHTS",-38.180003,144.301682,4,2,3,$600,none,July 2022,3216
0,"27 STANFIELD DRIVE, WANDANA HEIGHTS",-38.180003,144.301682,4,2,3,$580 per week,none,July 2020,3216
0,"27 STANFIELD DRIVE, WANDANA HEIGHTS",-38.180003,144.301682,4,2,3,$540 per week,none,June 2018,3216
0,"27 STANFIELD DRIVE, WANDANA HEIGHTS",-38.180003,144.301682,4,2,3,$540,none,June 2018,3216
0,"UPPER LEVEL/1A BENT ROAD, WANDANA HEIGHTS",-38.1725336,144.3062785,3,1,1,$420 per week,Unit/apmt,April 2022,3216
0,"UPPER LEVEL/1A BENT ROAD, WANDANA HEIGHTS",-38.1725336,144.3062785,3,1,1,$420 per week,Unit/apmt,April 2022,3216
0,"UPPER LEVEL/1A BENT ROAD, WANDANA HEIGHTS",-38.1725336,144.3062785,3,1,1,$400 per week,Unit/apmt,October 2020,3216
0,"46 DREWAN DRIVE, WANDANA HEIGHTS",-38.1725544002,144.2963688002,5,2,2,$650 pw,House,March 2022,3216
0,"46 DREWAN DRIVE, WANDANA HEIGHTS",-38.1725544002,144.2963688002,5,2,2,$650 pw,House,March 2022,3216
