"73 The Crescent, Port Melbourne",PORT MELBOURNE,3207,Melbourne City Council - Greater Area,Townhouse,3.0,2.0,2,100,-37.83843,144.928085
"67 Little Charles Street, Abbotsford",ABBOTSFORD,3067,Yarra City Council - Greater Area,House,2.0,2.0,1,700,-37.8066063,144.995728
"4 Allaware Avenue, Croydon",CROYDON,3136,Maroondah City - Greater Area,House,3.0,1.0,2,500,-37.8032074,145.29985
"38 Kauri Grove, Glen Waverley",GLEN WAVERLEY,3150,Monash City - Greater Area,House,3.0,2.0,1,520,-37.89368,145.157
"2/61 Little Oxford Street, Collingwood",COLLINGWOOD,3066,Yarra City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,550,-37.8046227,144.983887
"31A Tweed St, Highett",HIGHETT,3190,Bayside - Greater Area,House,3.0,2.0,2,750,-37.944355,145.029984
"14/13 Churchill Avenue, Chadstone",CHADSTONE,3148,Monash City - Greater Area,ApartmentUnitFlat,2.0,1.0,1,350,-37.88813,145.107117
"12/59 Westbank Terrace, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,Townhouse,2.0,1.0,1,500,-37.82272,145.0133
"39 Belmont Avenue, Upwey",UPWEY,3158,Yarra Ranges Shire - Greater Area,House,4.0,2.0,2,530,-37.904377,145.325089
"12/2A Brenbeal Street, Balwyn",BALWYN,3103,Boroondara City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,400,-37.812767,145.087051
"175 Richardson Street, Middle Park",MIDDLE PARK,3206,Port Philip City Council - Greater Area,House,3.0,1.0,0,890,-37.8484459,144.960312
"184 Centre Dandenong Road, Dingley Village",DINGLEY VILLAGE,3172,Kingston City Council - Greater Area,House,2.0,1.0,4,475,-37.9787941,145.125443
"G04/12 Major Street, Highett",HIGHETT,3190,Bayside - Greater Area,ApartmentUnitFlat,2.0,2.0,1,480,-37.94731,145.0401
"2/474 Glenferrie Road, Hawthorn",HAWTHORN,3122,Boroondara City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,520,-37.833828,145.0338
"12A Bevan Street, Ormond",ORMOND,3204,Glen Eira Council - Greater Area,House,4.0,1.0,3,900,-37.90551,145.026932
"114 Evans Street, Port Melbourne",PORT MELBOURNE,3207,Melbourne City Council - Greater Area,House,4.0,2.0,0,"1,2",-37.8334846,144.9418
"6/61 Princess Street, Kew",KEW,3101,Boroondara City Council - Greater Area,ApartmentUnitFlat,3.0,2.0,2,600,-37.8032951,145.029083
"8 Walker Street, Newport",NEWPORT,3015,Hobsons Bay City Council - Greater Area,House,4.0,1.0,1,610,-37.8419724,144.882248
"52-54 Tinning Street, Brunswick",BRUNSWICK,3056,Moreland City Council - Greater Area,House,7.0,3.0,0,"1,4",-37.75897,144.959183
"2903/151 City Road, Southbank",SOUTHBANK,3006,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,520,-37.8236656,144.963165
"92 Wilson Street, Wodonga",WODONGA,3690,Wodonga - Greater Area,House,3.0,1.0,0,390,-36.12957,146.876068
"206/96 Ormond Road, Elwood",ELWOOD,3184,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,425,-37.8855057,144.987457
"5/310 Beach Road, Black Rock",BLACK ROCK,3193,Bayside - Greater Area,ApartmentUnitFlat,2.0,1.0,1,480,-37.9768944,145.016891
"101/17 Murrumbeena Road, Murrumbeena",MURRUMBEENA,3163,Glen Eira Council - Greater Area,ApartmentUnitFlat,2.0,2.0,1,480,-37.8858643,145.0668
"7/11-15 Basil Street, Newport",NEWPORT,3015,Hobsons Bay City Council - Greater Area,Townhouse,3.0,3.0,1,600,-37.84629,144.865845
"G02/1309 Toorak Road, Camberwell",CAMBERWELL,3124,Boroondara City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,550,-37.8493423,145.0893
"417/11 Urquhart Street, Coburg",COBURG,3058,Darebin City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,365,-37.7401161,144.968063
"26 Austin Street, Hughesdale",HUGHESDALE,3166,Monash City - Greater Area,House,3.0,1.0,2,550,-37.9068031,145.078644
"6/21 Chusan Street, Balaclava",BALACLAVA,3183,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,275,-37.86735,144.998856
"38/400 Victoria Parade, East Melbourne",EAST MELBOURNE,3002,Melbourne City Council - Greater Area,ApartmentUnitFlat,3.0,2.0,2,770,-37.8095627,144.984848
"1 Watson Street, Armadale",ARMADALE,3143,Stonnington - Greater Area,House,2.0,1.0,0,500,-37.8502426,145.014877
"802/8 Joseph Road, Footscray",FOOTSCRAY,3011,Maribyrnong City Council - Greater Area,ApartmentUnitFlat,2.0,2.0,1,470,-37.7992134,144.909912
