,Unnamed: 0,bedrooms,bathrooms,carspaces,building_area,street_address,latitude,longitude,price,distance_to_city,weekly_rent
0,0,2.0,2.0,1.0,,1407/601 Little Lonsdale Street Melbourne VIC 3000,-37.8137564,144.9537143,$750 per week,1.2481,750.0
1,1,2.0,2.0,,,4507/318 Russell Street Melbourne VIC 3000,-37.8091709,144.966801,$650 per week,0.9915,650.0
3,3,2.0,2.0,,,5101/464 Collins Street Melbourne VIC 3000,-37.8175602,144.9585916,$650,0.725,650.0
4,4,2.0,2.0,1.0,,300/668 Bourke Street Melbourne VIC 3000,-37.8166152,144.95427890000005,$550.00,1.1139,550.0
5,5,2.0,2.0,,,1605/318 Queen Street Melbourne VIC 3000,-37.8112667,144.9592612,$630 Per Week,1.0078,630.0
6,6,2.0,2.0,1.0,,3902/220 Spencer Street Melbourne VIC 3000,-37.8157157,144.9529559,$650 per week,1.2464,650.0
7,7,2.0,2.0,,,5206/318 Russell Melbourne VIC 3000,-37.8091709,144.966801,$750 per week,0.9915,750.0
8,8,2.0,2.0,1.0,,3716/228 La Trobe Street Melbourne VIC 3000,-37.8097514,144.9626141,$800 per week,0.9976,800.0
9,9,2.0,2.0,,55.0,2913/350 William Street Melbourne VIC 3000,-37.8112344,144.9564823,$500 per week,1.1854,500.0
10,10,2.0,2.0,,,1211/260 Spencer Street Melbourne VIC 3000,-37.814564,144.95228559999995,$700,1.3358,700.0
11,11,2.0,2.0,1.0,,3208/120 A'Beckett Street Melbourne VIC 3000,-37.8093086,144.9597389,$650/week,1.1574,650.0
12,12,2.0,2.0,,,1704/318 Queen Street Melbourne VIC 3000,-37.8112667,144.9592612,$775/week,1.0078,775.0
13,13,2.0,2.0,,,3610/500 Elizabeth Street Melbourne VIC 3000,-37.8072443,144.9602814,$580 per week,1.3357,580.0
14,14,2.0,2.0,,,2402/155 Franklin Street Melbourne VIC 3000,-37.8088259,144.95954880000005,$750 **SPACIOUS APARTMENT**,1.2118,750.0
15,15,3.0,3.0,2.0,,5401/464 Collins Street Melbourne VIC 3000,-37.8175602,144.9585916,$2500 Per Week,0.725,2500.0
