,SA2_MAINCODE_2016,SA2_5DIGITCODE_2016,SA2_NAME_2016,STATE_CODE_2016,SINGLE_NAME,VIC_NAME,MULTIPLE_NAME,VALID_NAME
0,201011001,21001,ALFREDTON,2,True,False,False,True
1,201011002,21002,BALLARAT,2,True,False,False,True
2,201011003,21003,BALLARAT NORTH,2,False,False,True,False
3,201011004,21004,BALLARAT SOUTH,2,False,False,True,False
4,201011005,21005,BUNINYONG,2,True,False,False,True
5,201011006,21006,DELACOMBE,2,True,False,False,True
6,201011007,21007,SMYTHES CREEK,2,True,False,False,True
7,201011008,21008,WENDOUREE MINERS REST,2,False,False,True,False
8,201021009,21009,BACCHUS MARSH REGION,2,True,False,False,True
9,201021010,21010,CRESWICK CLUNES,2,False,False,True,False
10,201021011,21011,DAYLESFORD,2,True,False,False,True
11,201021012,21012,GORDON,2,True,True,False,True
12,201031013,21013,AVOCA,2,True,False,False,True
13,201031014,21014,BEAUFORT,2,True,False,False,True
14,201031015,21015,GOLDEN PLAINS NORTH,2,False,False,True,False
15,201031016,21016,MARYBOROUGH,2,True,True,False,True
16,201031017,21017,MARYBOROUGH REGION,2,True,False,False,True
17,202011018,21018,BENDIGO,2,True,False,False,True
18,202011019,21019,CALIFORNIA GULLY EAGLEHAWK,2,False,False,True,False
19,202011020,21020,EAST BENDIGO KENNINGTON,2,False,False,True,False
20,202011021,21021,FLORA HILL SPRING GULLY,2,False,False,True,False
21,202011022,21022,KANGAROO FLAT GOLDEN SQUARE,2,False,False,True,False
22,202011023,21023,MAIDEN GULLY,2,True,False,False,True
23,202011024,21024,STRATHFIELDSAYE,2,True,False,False,True
24,202011025,21025,WHITE HILLS ASCOT,2,False,False,True,False
25,202021026,21026,BENDIGO REGION SOUTH,2,False,False,True,False
26,202021027,21027,CASTLEMAINE,2,True,False,False,True
27,202021028,21028,CASTLEMAINE REGION,2,True,False,False,True
28,202021029,21029,HEATHCOTE,2,True,False,False,True
29,202021030,21030,KYNETON,2,True,False,False,True
30,202021031,21031,WOODEND,2,True,False,False,True
31,202031032,21032,BENDIGO REGION NORTH,2,False,False,True,False
32,202031033,21033,LODDON,2,True,False,False,True
33,203011034,21034,BANNOCKBURN,2,True,False,False,True
34,203011035,21035,GOLDEN PLAINS SOUTH,2,False,False,True,False
35,203011036,21036,WINCHELSEA,2,True,False,False,True
36,203021037,21037,BELMONT,2,True,False,False,True
37,203021038,21038,CORIO NORLANE,2,False,False,True,False
38,203021039,21039,GEELONG,2,True,False,False,True
39,203021040,21040,GEELONG WEST HAMLYN HEIGHTS,2,False,False,True,False
