Beds,Baths,Parking,Area,Address,Latitude,Longitude,Price,distance_to_city
3.0,2.0,3.0,700m²,9 Lansdowne Street Blairgowrie VIC 3942,-38.372703,144.7856897,5000000000.0,63.7455
3.0,4.0,3.0,900m²,52 Black St Brighton VIC 3186,-37.9159452,144.9989003,5500000000.0,11.2534
4.0,3.0,2.0,509m²,2B Mulgoa Street Brighton VIC 3186,-37.9025755,144.988376,3000000000.0,9.5951
5.0,3.0,2.0,"1,056m²",46-48 Wells Road Beaumaris VIC 3193,-37.9837637,145.0499964,2500.0,19.8383
4.0,2.0,4.0,"3,000m²",3 Stonecutters Road Portsea VIC 3944,-38.334205,144.725559,2500000000.0,61.2196
3.0,2.0,3.0,18.12m²,25/26 Little Cardigan Street Carlton VIC 3053,-37.8040783,144.9654614,2000.0,1.5629
5.0,2.0,2.0,711m²,4 Newbay Crescent Brighton VIC 3186,-37.9048689,144.991408,1690.0,9.9002
5.0,3.0,2.0,250m²,1 Marine Avenue St Kilda VIC 3182,-37.873865,144.977457,1595000000.0,6.2802
5.0,3.0,2.0,100m²,4/18-22 Islington Street Collingwood VIC 3066,-37.8083229,144.9908124,1500000000.0,2.3738
2.0,2.0,1.0,70m²,3811/639 Lonsdale Street Melbourne VIC 3000,-37.8148924,144.9536021,1400000000.0,1.2144
3.0,2.0,2.0,260m²,14 Henderson Street South Melbourne VIC 3205,-37.8402383,144.9477835,1400.0,2.9806
4.0,2.0,8.0,"23,088m²",208 Sandy Road St Andrews Beach VIC 3941,-38.4181171,144.8526033,1399699725.0,67.5393
5.0,2.0,3.0,"1,046m²",11 Matong Road Mount Eliza VIC 3930,-38.1854739,145.0773569,1300000000.0,42.0313
4.0,3.0,2.0,192m²,34 Coane Street Oakleigh East VIC 3166,-37.9129792,145.1161421,1300000000.0,16.847
2.0,2.0,1.0,80m²,2/14 Laurel Street Bentleigh East VIC 3165,-37.9194749,145.0584466,1250000000.0,13.8653
6.0,2.0,2.0,310m²,Drummond street Carlton VIC 3053,-37.7988884,144.9688269,1200000000.0,2.1435
4.0,2.0,2.0,329m²,10A Franklin Place Mornington VIC 3931,-38.2168773,145.0399711,1500000000.0,44.8544
4.0,2.0,2.0,"1,595m²",10 Cottage Pl Mornington VIC 3931,-38.2495285,145.0605786,1200000000.0,48.7264
7.0,2.0,2.0,300m²,5 Alfred St Balaclava VIC 3183,-37.8675296,144.9927002,1188000000.0,5.9567
4.0,2.0,4.0,2.02ha,207 Purves Road Arthurs Seat VIC 3936,-38.3718261,144.9574408,1000000000.0,61.6471
4.0,2.0,2.0,657m²,2 Banchory Avenue Hillside VIC 3037,-37.6922204,144.7503551,500981697.0,23.6474
4.0,2.0,2.0,396m²,14 Yacht Court Mornington VIC 3931,-38.2276906,145.0293786,1000.0,45.9258
5.0,4.0,2.0,667m²,22 Strathmore street Bentleigh VIC 3204,-37.9157719,145.0445573,998627109.0,12.8431
4.0,3.0,4.0,735m²,1 Marabou place Aspendale VIC 3195,-38.02665349999999,145.1048037,998522152.0,26.1899
4.0,2.0,2.0,298m²,13B Claronga Street Bentleigh East VIC 3165,-37.92607479999999,145.0808465,990000000.0,15.6505
4.0,4.0,2.0,151m²,107 Field Street Clifton Hill VIC 3068,-37.7908537,145.0026019,965000000.0,4.3697
3.0,2.0,2.0,259m²,10/649-657 Inkerman Road Caulfield North VIC 3161,-37.869499,145.020775,950000000.0,7.4343
6.0,2.0,4.0,"7,349m²",34 Collison Road Cranbourne East VIC 3977,-38.1072312,145.3148243,900000000.0,44.3725
4.0,2.0,2.0,397m²,55 Powell Street Yarraville VIC 3013,-37.8173979,144.8852636,900000000.0,7.1713
4.0,2.0,2.0,597m²,20 St James Avenue Bentleigh VIC 3204,-37.9168994,145.0492299,890000000.0,13.1708
4.0,2.0,5.0,700m²,70 Emo Road Malvern East VIC 3145,-37.8759864,145.0522876,880000000.0,9.8999
3.0,2.0,2.0,332m²,22 Union Street Windsor VIC 3181,-37.8538133,144.9849563,880000000.0,4.2859
4.0,3.0,3.0,560m²,5 Lakeview Court Glen Waverley VIC 3150,-37.886278,145.152601,850000000.0,18.0086
4.0,2.0,1.0,439.81m²,18 Ardyne Street Murrumbeena VIC 3163,-37.8926347,145.0686981,850000000.0,12.2096
4.0,2.0,6.0,"1,894m²",85-86 Bluff Rd St Leonards VIC 3223,-38.1858684,144.7119873,850000000.0,46.6456
5.0,3.0,2.0,185.7m²,Ashwood VIC 3147,-37.864355,145.0981134,845000000.0,12.6401
4.0,2.0,1.0,436m²,23 Garnet Street Preston VIC 3072,-37.74617910000001,145.003678,2425000264.0,8.6359
3.0,2.0,1.0,104m²,503/8 Bowen Crescent Melbourne VIC 3004,-37.8354199,144.9725792,800964179.0,1.996
3.0,2.0,3.0,"1,070m²",10-12 Franzel Avenue Portarlington VIC 3223,-38.1130496,144.6474211,800000000.0,43.172
