bedrooms,bathrooms,carspaces,building_area,street_address,latitude,longitude,price
2.0,2.0,1.0,,1407/601 Little Lonsdale Street Melbourne VIC 3000,-37.8137564,144.9537143,$750 per week
2.0,2.0,,,4507/318 Russell Street Melbourne VIC 3000,-37.8091709,144.966801,$650 per week
2.0,2.0,,,816/101 Therry St Melbourne VIC 3000,-37.8074149,144.9591227,New apartment No bond needed Pets welcome
2.0,2.0,,,5101/464 Collins Street Melbourne VIC 3000,-37.8175602,144.9585916,$650
2.0,2.0,1.0,,300/668 Bourke Street Melbourne VIC 3000,-37.8166152,144.9542789,$550.00
2.0,2.0,,,1605/318 Queen Street Melbourne VIC 3000,-37.8112667,144.9592612,$630 Per Week
2.0,2.0,1.0,,3902/220 Spencer Street Melbourne VIC 3000,-37.8157157,144.9529559,$650 per week
2.0,2.0,,,5206/318 Russell Melbourne VIC 3000,-37.8091709,144.966801,$750 per week
2.0,2.0,1.0,,3716/228 La Trobe Street Melbourne VIC 3000,-37.8097514,144.9626141,$800 per week
2.0,2.0,,55.0,2913/350 William Street Melbourne VIC 3000,-37.8112344,144.9564823,$500 per week
2.0,2.0,,,1211/260 Spencer Street Melbourne VIC 3000,-37.814564,144.9522856,$700
2.0,2.0,1.0,,3208/120 A'Beckett Street Melbourne VIC 3000,-37.8093086,144.9597389,$650/week
2.0,2.0,,,1704/318 Queen Street Melbourne VIC 3000,-37.8112667,144.9592612,$775/week
2.0,2.0,,,3610/500 Elizabeth Street Melbourne VIC 3000,-37.8072443,144.9602814,$580 per week
2.0,2.0,,,2402/155 Franklin Street Melbourne VIC 3000,-37.8088259,144.9595488,$750 **SPACIOUS APARTMENT**
3.0,3.0,2.0,,5401/464 Collins Street Melbourne VIC 3000,-37.8175602,144.9585916,$2500 Per Week
3.0,2.0,,,625/118 Franklin Street Melbourne VIC 3000,-37.8082052,144.9589035,$530
3.0,2.0,,,3601/8 Sutherland Street Melbourne VIC 3000,-37.8112884,144.9610605,$720 per week
2.0,2.0,,,1411/120 A Beckett St Melbourne VIC 3000,-37.8093086,144.9597389,$680
2.0,2.0,,,1610/199 William Street Melbourne VIC 3000,-37.8145042,144.9576035,$600 per week
2.0,2.0,,,3705/462 Elizabeth Street Melbourne VIC 3000,-37.807859,144.960611,$725 per week
2.0,2.0,,,2009/639 Little Lonsdale Street Melbourne VIC 3000,-37.8141942,144.9521662,$650
2.0,2.0,,,2803/318 Russell Street Melbourne VIC 3000,-37.8091709,144.966801,$720 per week
2.0,2.0,,,907/270 King Street Melbourne VIC 3000,-37.813751,144.9550317,$500 per week
2.0,2.0,,,2401/8 Franklin Street Melbourne VIC 3000,-37.8074591,144.9619559,$670 per week
3.0,2.0,1.0,,3113/639 Lonsdale Street Melbourne VIC 3000,-37.8150689,144.9534096,$950.00
2.0,2.0,2.0,,55/1 Albert Road Melbourne VIC 3000,-37.833957,144.972793,$950 Per Week
2.0,2.0,1.0,,1003/270 King Street Melbourne VIC 3000,-37.813751,144.9550317,$560.00 per week
2.0,2.0,,,2304/33 Mackenzie Street Melbourne VIC 3000,-37.80772140000001,144.966885,$600 per week
2.0,2.0,1.0,,302/20 Queens Road Melbourne VIC 3000,-37.8406236,144.9752271,$650
2.0,2.0,1.0,,3604/568 Collins Street Melbourne VIC 3000,-37.8183759,144.9554361,$550.00 per week
2.0,2.0,1.0,,4808/639 Little Lonsdale Street Melbourne VIC 3000,-37.8141942,144.9521662,$700
2.0,2.0,,,260 Spencer St Melbourne VIC 3000,-37.814564,144.9522856,$680
2.0,2.0,2.0,,102/8 Bligh Place Melbourne VIC 3000,-37.817252,144.963903,$890.00 per week
2.0,2.0,1.0,,4804/568 Collins Street Melbourne VIC 3000,-37.8183759,144.9554361,$580 per weekly - Unfurnished
2.0,2.0,1.0,,205/20 Queens Rd Melbourne VIC 3000,-37.8406236,144.9752271,$750
2.0,2.0,,,3806/500 Elizabeth St Melbourne VIC 3000,-37.8072443,144.9602814,$650 weekly
2.0,2.0,,,5901/462 Elizabeth St Melbourne VIC 3000,-37.807859,144.960611,$650
2.0,2.0,1.0,,1310/7 Katherine Place Melbourne VIC 3000,-37.8201858,144.9564628,$550 per week
2.0,2.0,1.0,,803/108 Flinders Street Melbourne VIC 3000,-37.8161924,144.971196,$650 per week
4.0,2.0,,,206/639 Little Bourke Street Melbourne VIC 3000,-37.8161004,144.9535691,$650pw/$2998pcm
3.0,2.0,2.0,,UNIT 2707/35 SPRING STREET Melbourne VIC 3000,-37.8141725,144.9740049,"$2,050"
2.0,2.0,1.0,,5008/639 Little lonsdale street Melbourne VIC 3000,-37.8141942,144.9521662,$750 per week
4.0,2.0,2.0,,241/538 Little Lonsdale Street Melbourne VIC 3000,-37.8136966,144.953207,"$1,400 per week"
2.0,2.0,,,4610/371 Little Lonsdale Street Melbourne VIC 3000,-37.8117708,144.9609302,$700/W Unfurnished
2.0,2.0,,,2211/33 Rose Lane Melbourne VIC 3000,-37.8150137,144.9538694,$560 per week
2.0,2.0,,,3711/157 Abeckett Street Melbourne VIC 3000,-37.8099156,144.9591846,$730 per week
2.0,2.0,,,2703/8 Exploration Lane Melbourne VIC 3000,-37.8091129,144.9684545,$530 per week
2.0,2.0,,,1104/23 Mackenzie Street Melbourne VIC 3000,-37.8075453,144.9673268,$650 per week
3.0,2.0,1.0,,7302/462 Elizabeth Street Melbourne VIC 3000,-37.807859,144.960611,"$3,100 per week"
3.0,2.0,,,3803/483 Swanston Street Melbourne VIC 3000,-37.8073886,144.962087,"$2,000"
4.0,4.0,3.0,,231/299 Queen Street Melbourne VIC 3000,-37.8114187,144.9587916,"$2,600.00"
2.0,2.0,,,3403/371 Little Lonsdale Street Melbourne VIC 3000,-37.8117708,144.9609302,$650 per week
3.0,2.0,1.0,,4313/560 Lonsdale Street Melbourne VIC 3000,-37.8140313,144.9556025,$900.00
2.0,2.0,,,302/60 A'Beckett Street Melbourne VIC 3000,-37.8087388,144.9614417,$590
2.0,2.0,1.0,,1011/618 Lonsdale Street Melbourne VIC 3000,-37.8142509,144.9539845,$600.00
2.0,2.0,1.0,,7/7 Drewery Lane Melbourne VIC 3000,-37.8110742,144.9639021,$680 per week
2.0,2.0,1.0,,1007/565 Flinders Street Melbourne VIC 3000,-37.8210586,144.9559072,$650 per week
2.0,2.0,1.0,,2802/160 Spencer Street Melbourne VIC 3000,-37.8172652,144.953648,$800 per week
3.0,2.0,1.0,,6/410 Queen Street Melbourne VIC 3000,-37.8090899,144.9582169,$695 per week
2.0,2.0,,,3510/500 Elizabeth Street Melbourne VIC 3000,-37.8072443,144.9602814,$580 per week
2.0,2.0,1.0,,7910/228 La Trobe Street Melbourne VIC 3000,-37.8097514,144.9626141,$950 per week
2.0,2.0,1.0,,2910/118-134 ABeckett Street Melbourne VIC 3000,-37.809359,144.959739,$650.00
2.0,2.0,1.0,,4407/618 Lonsdale Street Melbourne VIC 3000,-37.8142509,144.9539845,$620.00
2.0,2.0,,,1506/155 Franklin Street Melbourne VIC 3000,-37.8088259,144.9595488,$620 per week
2.0,2.0,,,2203/568 Collins Street Melbourne VIC 3000,-37.8183759,144.9554361,$550
3.0,2.0,,,1602/270 King Street Melbourne VIC 3000,-37.813751,144.9550317,$980 per week
2.0,2.0,1.0,,403/95 Berkeley Street Melbourne VIC 3000,-37.8033781,144.9587815,$650 per week
2.0,2.0,1.0,,3202/618 Lonsdale Street Melbourne VIC 3000,-37.8142509,144.9539845,$630.00
2.0,2.0,,,1406/462 Elizabeth Street Melbourne VIC 3000,-37.807859,144.960611,$680/week
