Suburb_Name,sa2_2021,Growth_Rate
Nhill Region,215011390,0.20046646881855695
West Wimmera,215011393,0.19799200756026486
Yarriambiack,215011394,0.19740668474692366
Kerang,215031402,0.1693503749558036
Rushworth,216011410,0.16441939496783273
St Albans - South,213011335,0.16052207605033392
Frankston North,214011372,0.1598978163487828
Kyabram,216011407,0.15966010902703548
Ardeer - Albion,213011328,0.15906743714791835
St Arnaud,215011391,0.15573539572158354
Cobram,216021411,0.15552066820817778
Maryborough Surrounds,201031017,0.15534011214693855
Buloke,215031400,0.15228178021276753
St Albans - North,213011334,0.15197995895754593
Southern Grampians,217011423,0.14927152755996245
Hoppers Crossing - South,213051362,0.1446268105437591
Sunshine West,213011338,0.13919013380994794
Kings Park (Vic.),213011333,0.1361559886102895
Campbellfield - Coolaroo,210051243,0.13102161866061104
Hamilton (Vic.),217011421,0.1293982099911731
Reservoir - South East,209021525,0.1284331660586688
Beaufort,201031014,0.12807697147660638
Fawkner,210031237,0.12774298182467664
Narre Warren North,212021299,0.12718843932638257
Swan Hill Surrounds,215031405,0.12588082622335817
Loddon,202031033,0.12464317556181277
Point Cook - East,213051464,0.12410030857338476
Corangamite - North,217031474,0.12289180654954464
Portland,217011422,0.12206445076949272
Epping - South,209041432,0.12152336479811568
Broadmeadows,210051242,0.11947893796977058
Elwood,206051129,0.11921352738299251
Reservoir - North West,209021524,0.1191389384196038
Mildura Surrounds,215021398,0.11808426570182728
Camperdown,217031471,0.11643163919584232
Cranbourne North - West,212031560,0.11609362126795349
Reservoir - South West,209021526,0.11540848284075234
Rockbank - Mount Cottrell,213041359,0.11455477321275194
Footscray,213031348,0.1140175297643633
Merbein,215021396,0.11357756169240477
Stawell,215011392,0.11331114195418002
Horsham,215011388,0.1130507886648858
Keysborough - North,212041565,0.1116523219719527
Moira,216021412,0.11157317563780225
Ararat Surrounds,215011387,0.11044025386062162
Wallan,209041224,0.11016848295576245
Altona Meadows,213021342,0.10922857827198698
Elsternwick,208021179,0.10869858871505704
Colac Surrounds,217031473,0.10752559187307124
Alexandra,204011054,0.1071206030142637
Doveton,212021295,0.10702491133507645
St Kilda - West,206051514,0.10680404410877586
Werribee - East,213051467,0.10630303065264506
Heathcote,202021029,0.10516998261470276
Yarram,205051104,0.10447162502658365
Swan Hill,215031404,0.10302000955726272
Glenelg (Vic.),217011420,0.10184034470082237
Corio - Lovely Banks,203021486,0.10158650238345006
Reservoir - North East,209021523,0.10125339530413999
Frankston,214011371,0.10016976042955894
Seabrook,213021345,0.09981511784180483
Cranbourne,212031300,0.09975077406807926
Ararat,215011386,0.09877030937048216
West Footscray - Tottenham,213031351,0.09772458734462433
Avoca,201031013,0.09768245152770648
Hawthorn East,207011152,0.0970841397342724
Keilor Downs,213011332,0.09571420200472852
Seymour Surrounds,204011060,0.09528222537452571
St Kilda East,206051134,0.09403898599902862
Shepparton Surrounds - West,216031419,0.09334036054231108
Craigieburn - Central,210051441,0.09293592783480284
Carlton,206041117,0.09178833942798735
Lalor - East,209041529,0.09136475316919666
Korumburra,205031089,0.0911048271268757
St Kilda - Central,206051513,0.09036904107729192
Numurkah,216021413,0.08989789288821001
Norlane,203021488,0.08973743642941095
Shepparton - South East,216031594,0.08960325552478325
Mildura - North,215021469,0.08927551058409368
Burwood (Vic.),207031165,0.08908867714690549
Shepparton Surrounds - East,216031418,0.0890503632702678
Keilor East,210011534,0.0883464373370903
Avondale Heights,210011533,0.08797828475652339
Carnegie,208021176,0.08783927084941072
Benalla Surrounds,204021064,0.08763310023191433
Malvern East,208041195,0.08717690293606058
Werribee - West,213051468,0.08710416455204154
Shepparton - North,216031416,0.08699886642083368
Prahran - Windsor,206061136,0.08644391934486051
Hawthorn - South,207011520,0.08610461500148806
Colac,217031472,0.0858098281002599
Ivanhoe East - Eaglemont,209011201,0.085124005992258
North Melbourne,206041506,0.0849513045609627
Deer Park,213011569,0.08407819763157685
Red Cliffs,215021399,0.08327227482975219
Nunawading,211041271,0.08300746599339266
Mildura - South,215021470,0.0825704457865386
Koo Wee Rup,212011548,0.0822217898232436
Bannockburn,203011034,0.0806074608099697
Ormond - Glen Huntly,208021182,0.08020321219552781
Sunshine,213011336,0.07983166153099627
Armadale,206061135,0.07961022317153851
Seymour,204011059,0.0793505270502691
